,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Amnat Charoen,0,1,7,79,3,9,29,11,7,1,4,1,3,4,1,30,0,5,7,12,3,2,4,16,17,0,0,25,1,6,28,8,6,0,2,0,2,8,1,11,1,0,2,1,4,3,2,16,0,1,6,24,1,7,2,1,3,1,3,0,9,3,31,6,8,17,1,0,0,0,1,88,7,2,0,0,18
Ang Thong,1,0,400,636,3,16,223,87,73,53,7,10,40,56,10,29,31,66,5,7,40,21,95,2,17,4,8,297,0,8,97,6,129,11,92,2,52,91,28,93,9,1,50,5,29,27,18,352,0,26,44,14,2,77,155,10,58,64,8,15,4,136,263,82,6,3,12,4,26,4,21,10,11,26,35,2,3
Phra Nakhon Si Ayutthaya,7,400,0,4818,9,119,1577,550,676,173,62,62,293,319,122,245,159,420,51,65,278,136,483,12,109,38,52,2074,14,51,867,34,714,39,423,5,313,598,107,680,146,9,297,46,162,146,118,2292,9,100,320,86,16,460,408,80,394,360,56,140,23,436,1959,702,62,40,87,29,122,26,102,97,110,108,110,11,20
Bangkok,79,636,4818,0,74,701,11207,3022,4939,417,377,365,1963,2068,1188,2006,480,2848,260,511,1306,595,1479,101,738,308,425,14900,93,469,4460,219,5277,436,1316,68,1885,4639,340,4880,1397,123,1202,364,764,550,731,11267,104,449,2516,541,111,3102,807,879,2468,2207,326,1223,244,1519,17728,2094,348,377,363,215,447,240,802,1054,1017,382,309,79,122
Bueng Kan,3,3,9,74,0,4,29,7,6,1,3,0,3,2,2,49,0,6,7,18,2,2,4,2,15,0,2,31,3,58,32,21,11,0,3,0,5,4,0,6,1,0,1,1,3,0,3,26,0,1,3,6,0,5,1,1,2,5,1,3,36,5,21,10,1,4,3,0,1,1,2,8,70,2,3,0,2
Buriram,9,16,119,701,4,0,265,87,100,12,43,5,44,90,13,195,18,53,33,29,44,27,41,18,147,4,19,272,5,22,488,15,100,8,34,2,49,89,11,99,22,2,51,4,32,20,58,236,4,13,39,84,5,101,21,19,46,50,44,21,16,35,270,134,175,94,17,4,8,5,37,160,45,12,8,2,30
Chonburi,29,223,1577,11207,29,265,0,1841,1271,168,127,89,583,1060,155,665,174,796,105,170,428,204,558,39,259,71,113,3776,39,163,1533,74,1490,91,459,12,577,1174,118,1226,272,35,408,74,274,193,414,3181,16,159,650,196,21,1909,298,159,692,667,160,212,76,474,5374,733,134,122,128,52,173,49,332,330,340,142,104,22,44
Chachoengsao,11,87,550,3022,7,87,1841,0,284,58,47,31,154,445,42,177,61,252,34,35,128,64,176,14,69,16,34,1241,8,36,497,29,498,31,174,4,271,411,59,397,46,7,129,14,96,58,230,1067,4,53,193,56,9,649,144,54,253,235,102,59,22,179,1732,309,47,33,36,18,58,20,108,78,75,42,32,5,16
Chiang Mai,7,73,676,4939,6,100,1271,284,0,109,55,59,1889,267,387,345,301,360,36,92,1718,1173,258,13,105,363,222,1435,19,95,513,33,492,65,477,13,166,550,107,609,315,13,496,72,181,473,86,1042,20,454,254,72,17,424,159,150,269,217,41,315,53,225,1741,219,37,34,211,46,343,54,127,112,201,248,49,24,17
Chai Nat,1,53,173,417,1,12,168,58,109,0,11,5,51,34,6,22,57,43,7,6,71,36,61,2,9,7,15,188,2,8,74,5,80,4,206,0,31,77,45,73,8,1,87,4,27,33,17,197,1,32,38,11,2,58,118,8,46,48,8,13,3,109,183,53,9,4,14,3,43,3,10,9,12,29,67,3,3
