,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Amnat Charoen,0.0,0.000685400959561,0.000436723602484,0.000303317980304,0.00718954248366,0.00149164677804,0.00131570165988,0.00340814630091,8.46351556619e-05,0.0008745080892,0.00479671082686,0.00082135523614,0.000102932094227,0.00159306133286,0.00378583017847,0.00112636150398,0.0,0.00067035361153,0.00288961664419,0.00632271117855,0.000184935668807,0.00074794315632,0.000848896434635,0.0475866757308,0.000735018976854,0.0,0.0,0.000475456914094,0.00245851259988,0.00044528884403,0.00116387820846,0.00258843830889,0.000528019467848,0.0,0.000178348492955,0.0,0.00025075225677,0.00087302770266,0.000331564986737,0.0017215744581,8.50701829009e-05,0.0,0.00100825508854,0.000420256356377,0.00105429625725,0.000470019472235,0.000645161290323,0.000460633548296,0.0,0.000350385423966,0.0003004958181,0.00572388002747,0.00134498991258,0.0011687494381,0.00319744204636,0.000329392819237,0.00322380657161,0.00208630723619,0.00243562978427,0.0,0.00238606537819,0.000442135514535,0.000381454205151,0.000924689201685,0.00501059934477,0.00297034954649,0.000529661016949,0.0,0.0,0.0,0.000753806723956,0.00584630375138,0.000430772349483,0.00122339124052,0.0,0.0,0.0316831683168
Ang Thong,0.000685400959561,0.0,0.0326207595425,0.00152735072095,0.00128990648178,0.00267149258876,0.00575585729248,0.0175373134328,0.000996232029081,0.0285638013881,0.00184811827957,0.00907944514502,0.000625436350943,0.0152912430047,0.00274943483839,0.000490106683687,0.0061919504644,0.0122128676853,0.00251739967422,0.00105130361648,0.00189280991521,0.006217237596,0.0367515049108,0.000644537544312,0.000366401025923,0.00166147455867,0.00232414006817,0.00789125920332,0.0,0.000482296867907,0.00325859736853,0.00322997416021,0.00837595765116,0.002849002849,0.00776951828987,0.00118659151587,0.00804589138047,0.00544457095539,0.0139442231076,0.0102264698226,0.00219815355102,0.000250312891114,0.00663436021691,0.00126642393541,0.00626167197627,0.00765040700165,0.00549894873039,0.00862365117815,0.0,0.00371057513915,0.00207609115489,0.00190294957184,0.00196914998359,0.0119295266398,0.133555926544,0.00110864745011,0.0132227935775,0.0177075399848,0.00248082995038,0.0015202011343,0.00160804020101,0.0503661191371,0.00343665222497,0.0240942028986,0.001329394387,0.000831052014079,0.00470189956743,0.00171722953635,0.00526711813394,0.00231107002542,0.00860796851943,0.000525157547264,0.000438735466888,0.0101803893552,0.0218806980985,0.00142775556825,0.00082304526749
Phra Nakhon Si Ayutthaya,0.000436723602484,0.0326207595425,0.0,0.0244140811505,0.00191098209966,0.014687360338,0.0807124051879,0.112231571285,0.012771206178,0.0338089634206,0.00757782632441,0.017432075018,0.00799385705035,0.0579665220087,0.0141769055429,0.00851002567404,0.0151521729692,0.0500963041029,0.00994623655914,0.00379813241003,0.0125347091439,0.0116220971911,0.0988060178527,0.000483103456605,0.00340118210751,0.00225371747212,0.00588486332293,0.0922244220447,0.000626762770291,0.00366934933843,0.0469522177218,0.0064874884152,0.0496660839381,0.00760565243271,0.040216356989,0.000263928211526,0.0694762464674,0.0577049499647,0.0136827677474,0.0871117161689,0.0149707789609,0.00420098260271,0.0295214533639,0.00717492836353,0.0260877083018,0.0171008411163,0.0215875200734,0.177116711856,0.00147296398365,0.0128936716359,0.0204671260371,0.00664061017721,0.0061536216374,0.0618304829919,0.0853133961491,0.0113762903663,0.0614019560119,0.0617267901636,0.0157979759586,0.0144733953012,0.004619418203,0.0986146350226,0.0458492117525,0.184078652222,0.00953724225939,0.00523246866504,0.0093639453423,0.00433419402435,0.0207813421662,0.00494804552202,0.017588379419,0.00701228852504,0.00543519574306,0.00955136152822,0.0242500666877,0.00461216940114,0.000978030104244
Bangkok,0.000303317980304,0.00152735072095,0.0244140811505,0.0,0.00206621280481,0.0225809935297,0.373247717336,0.160665057501,0.085261729299,0.0227445488413,0.00705264663565,0.0170762515662,0.0313784614477,0.0609715576528,0.0134815124477,0.04554248195,0.0215291606549,0.0860710494651,0.00525761384572,0.00898684501391,0.0345705540491,0.0213630916436,0.051242473934,0.00290452528063,0.00976898163087,0.00473744090803,0.00990524900602,0.775979318094,0.00150380227977,0.0149497604943,0.126537301691,0.0159609408019,0.192095293941,0.0173586731813,0.0481641027057,0.00138433197807,0.0669033547345,0.167646867643,0.0173880778651,0.174851054841,0.0283640859709,0.00260530290317,0.0363862791547,0.00753441315648,0.0259683301787,0.0161301860703,0.0257604137569,0.458588086491,0.00222381045854,0.0106386729571,0.0744229555417,0.023658797099,0.00245584310143,0.101608686308,0.0421832960497,0.0245201833344,0.109471917671,0.11298224099,0.0170533586429,0.0262344158293,0.0163074662789,0.0570040625445,0.852734962143,0.101722485232,0.0165646442115,0.00880153695871,0.00948599589877,0.00409728039971,0.0213151173252,0.00479681221312,0.0226819932521,0.0252131412286,0.0260110167049,0.0111571945018,0.00793895164671,0.00904870723702,0.00395849214227
Bueng Kan,0.00718954248366,0.00128990648178,0.00191098209966,0.00206621280481,0.0,0.000487757291972,0.000951384264104,0.00171638741316,4.00555436872e-05,0.000404367165386,0.0024054231358,0.0,2.93670663035e-05,0.0002608922515,0.000133058346085,0.00544616673649,0.0,0.000940213483767,0.0103073463268,0.00879583746283,2.6350808311e-05,0.000582156891282,0.000948991696323,0.00174114915844,0.00106683736064,0.0,0.000983284169125,0.00113985010971,0.00331491712707,0.014004428751,0.00135897755094,0.0127829002515,0.00070879824401,0.0,0.000132661183338,0.0,0.000823587547356,0.000254361235348,0.0,0.00174811591951,4.2201215395e-05,0.0,0.000124470998257,0.000202224469161,0.00115800308801,0.0,0.00331812525923,0.00268564641648,0.0,8.61771802827e-05,0.000423792192252,0.00104876769795,0.0,0.000623802521944,0.000371195248701,7.26876249319e-05,0.000241721053904,0.000752364574377,0.00065274151436,0.000254032770227,0.0174170616114,0.00086692674469,0.000574294963992,0.00618285019258,0.000926784059314,0.000471574534975,0.00126326427489,0.0,0.000188679245283,0.000338180588434,0.000586596275114,0.000305285250906,0.0142681804234,0.000701918577445,0.00236406619385,0.0,0.00265134776845
Buriram,0.00149164677804,0.00267149258876,0.014687360338,0.0225809935297,0.000487757291972,0.0,0.0139875725455,0.0445751042766,0.00268268251054,0.00972655533125,0.0487843889955,0.00188662294493,0.00124514910661,0.0330565726368,0.00349218517099,0.0182017096951,0.00405457587849,0.0122405534859,0.0105989110708,0.0053666184274,0.00338697026597,0.0137536193735,0.0149539418591,0.0132384904169,0.0221928762701,0.00108686564669,0.00398053958425,0.0112372515777,0.00193685841565,0.00191331049959,0.0476157236593,0.00549285176825,0.00757167077682,0.00220522362346,0.00835248794069,0.00276269410308,0.010652853792,0.00985953783416,0.00350697117441,0.0189133016627,0.00174069814429,0.000628366247756,0.0113052415211,0.00118870728083,0.0294748800808,0.0051074696744,0.0266492588895,0.011683991684,0.0010929957191,0.00293883243674,0.00294735974278,0.0165768945022,0.00127563536454,0.0150686277721,0.00717810677434,0.00222426112826,0.0292748652621,0.0187871174052,0.0203255609327,0.00897606382979,0.00499060591827,0.0176423416199,0.00817214011907,0.0617845020998,0.102318588273,0.0200132929621,0.00369566963927,0.00137273901809,0.00239165096391,0.000609702987545,0.0138677937001,0.00939113921119,0.00364423897878,0.00573268415266,0.0038981053395,0.000469351356425,0.00887518684604
Chonburi,0.00131570165988,0.00575585729248,0.0807124051879,0.373247717336,0.000951384264104,0.0139875725455,0.0,0.23612905982,0.0260497922457,0.0191895193482,0.0238268926511,0.00680336657526,0.0161174769917,0.095950209209,0.00848366235534,0.0350440162438,0.0144335761869,0.0504116737367,0.00563432318847,0.0131054699908,0.0193545820808,0.0174243332196,0.0527494027127,0.00511105803678,0.0164115467157,0.00507576042411,0.0080870542139,0.139222487647,0.00194108243891,0.0093832893683,0.0694803146238,0.00454431635861,0.0697571359036,0.00702638573386,0.0390570282051,0.000388850425364,0.035895690188,0.0594286357148,0.0117595736206,0.0577343206644,0.0152469446241,0.00164264068651,0.0278114495482,0.0055456636249,0.0223179830203,0.01412968174,0.0503238568049,0.128700953572,0.00102989530972,0.0113446633508,0.0364973512897,0.0161050480456,0.00118057010111,0.168468125771,0.031555119449,0.00717317095673,0.0525027075387,0.0569048556062,0.0151099424565,0.0145588523098,0.00600527818172,0.04140874739,0.180586126659,0.0791900198879,0.0172177016283,0.012087785062,0.009811753428,0.00245583236843,0.0139341970361,0.00266581260185,0.0197842225448,0.0154953608707,0.0152698284361,0.0158944143295,0.0122874519052,0.00201138519924,0.00255014978575
Chachoengsao,0.00340814630091,0.0175373134328,0.112231571285,0.160665057501,0.00171638741316,0.0445751042766,0.23612905982,0.0,0.00416647100759,0.023937007874,0.0117143048397,0.0262172284644,0.00256892016534,0.0777283177616,0.00721040189125,0.00706493506494,0.0180461565157,0.0339123839792,0.0060663507109,0.00300800343772,0.00592397756104,0.0182530860586,0.0379206566347,0.00220786654673,0.00272945586599,0.00337473971422,0.0099573257468,0.0311496553258,0.00439310120404,0.00477321569958,0.0149603238559,0.0118553645525,0.0296002730583,0.0118042813456,0.0183410138249,0.000399329127067,0.0527244036016,0.0251860535337,0.019374953604,0.0377471711053,0.00715042372881,0.00159987810453,0.0181818181818,0.00265630061548,0.0230752039334,0.00779006176968,0.0823297415311,0.0259016203032,0.000847457627119,0.00558786116664,0.0109756340923,0.0161180573275,0.0015592942142,0.0714935360229,0.0407649327143,0.00586913417052,0.0535574229692,0.0416316673667,0.0307808946171,0.0186441334935,0.00971848095917,0.0371497533844,0.0303635478454,0.0611577964519,0.0252944583897,0.00206339004837,0.00645833333333,0.00362394591958,0.0393933425251,0.00357142857143,0.0288746590774,0.00300330701222,0.00587139049757,0.0136226725082,0.00871846308155,0.0100542610916,0.00352830484554
Chiang Mai,8.46351556619e-05,0.000996232029081,0.012771206178,0.085261729299,4.00555436872e-05,0.00268268251054,0.0260497922457,0.00416647100759,0.0,0.0115628982178,0.00488853953225,0.00563009851558,0.160197295106,0.0223682431991,0.0168547246634,0.0220585806128,0.0508375473362,0.0198151320938,0.0030747335963,0.00982234145745,0.230746423542,0.338383779566,0.0189246667929,0.00159133458144,0.00568237417962,0.0433822885609,0.0251545186883,0.0688505806989,0.00100195046357,0.00679672158135,0.0238778132781,0.00127464683492,0.0246739527111,0.0093937483745,0.062075646315,0.00044470731588,0.0119215159692,0.0328559522262,0.00875068573799,0.041599845911,0.015462389672,0.00379111490816,0.0478509589041,0.0042033282958,0.0160631252642,0.0616267609717,0.0078661776482,0.0600056769798,0.00127918132395,0.0522075743371,0.0135446441642,0.00536856792812,0.000472078347191,0.0350851296239,0.0224223779772,0.00973503767036,0.0182517106851,0.0153205960389,0.00211473665544,0.0141983779352,0.00219865829907,0.0211524338492,0.0775088156942,0.0195640658585,0.00266503925115,0.00619349475216,0.0222298298641,0.00360576391316,0.0501058055019,0.00439672801636,0.00888172770019,0.0047236435348,0.0104726545217,0.0327060545055,0.00650278053004,0.00160631490892,0.00175231047028
Chai Nat,0.0008745080892,0.0285638013881,0.0338089634206,0.0227445488413,0.000404367165386,0.00972655533125,0.0191895193482,0.023937007874,0.0115628982178,0.0,0.00376506024096,0.00267777447188,0.000869628763519,0.00964312206379,0.000507195840994,0.000436230053955,0.0141374837873,0.00453067533714,0.00212210251388,0.0011259993244,0.00146334452618,0.00726744186047,0.0270572450805,0.00243111831442,0.000237473284256,0.0019120458891,0.00343760742523,0.00499919520532,0.00195388823759,0.000404390525708,0.0027936992289,0.00197486535009,0.00424120739053,0.000740082889284,0.0310210925779,0.0,0.0034225264468,0.00374806315172,0.0340314136126,0.00805379326065,0.000573042446073,0.000297265160523,0.0100900900901,0.00105485232068,0.00565970993987,0.00380396880746,0.00521864315278,0.00534131440477,0.000311720698254,0.00463565387118,0.00203451318757,0.00127722983041,0.000826446280992,0.0100988116485,0.133311389072,0.000389325405252,0.00894454382826,0.0108531805849,0.00315623356128,0.00377220734972,0.0005359056806,0.0383775351014,0.00217042942048,0.0153129161119,0.00556100752372,0.000504235578862,0.00533504054631,0.000649913344887,0.0144222706691,0.00108049702863,0.00357900318134,0.000251993901748,0.000445588672146,0.0108630054315,0.115176151762,0.00139275766017,0.000995355009954
