uid,lat,lon,province,province_abbr,province_abbr_index,epoch,date,time
207948928,13.91149043,100.54837704,Nonthaburi,NBI,28,207948928,2016-01-31,11:52:23
1972532480,13.80277919,100.55379278,Bangkok,BKK,4,1972532480,2016-01-31,11:52:22
2717268210,18.2921293,99.5005101,Lampang,LPG,21,2717268210,2016-01-31,11:52:22
123440126,13.75519283,100.64901926,Bangkok,BKK,4,123440126,2016-01-31,11:52:20
3076087680,18.13328792,100.15037149,Phrae,PRE,46,3076087680,2016-01-31,11:52:19
2580599904,16.23989966,103.25904045,Maha Sarakham,MKM,25,2580599904,2016-01-31,11:52:19
472812844,13.74472101,100.53314209,Bangkok,BKK,4,472812844,2016-01-31,11:52:17
60620076,17.33333,102.83333,Udon Thani,UDN,73,60620076,2016-01-31,11:52:16
1735395510,13.91679884,100.59526432,Bangkok,BKK,4,1735395510,2016-01-31,11:52:16
347644750,14.97982699,102.07707519,Nakhon Ratchasima,NMA,31,347644750,2016-01-31,11:52:15
65290220,18.79878583,98.96520947,Chiang Mai,CMI,9,65290220,2016-01-31,11:52:15
96557059,13.5423965,99.8249866,Ratchaburi,RBR,51,96557059,2016-01-31,11:52:15
254120294,20.05053,99.8798639,Chiang Rai,CRI,13,254120294,2016-01-31,11:52:14
3270676650,18.77698639,99.00423467,Chiang Mai,CMI,9,3270676650,2016-01-31,11:52:13
1168444748,13.75132821,100.49138546,Bangkok,BKK,4,1168444748,2016-01-31,11:52:11
986614590,14.99168579,102.11268198,Nakhon Ratchasima,NMA,31,986614590,2016-01-31,11:52:11
2256522120,17.17061506,104.15074862,Sakon Nakhon,SNK,61,2256522120,2016-01-31,11:52:10
704976596,13.5340675,99.8114337,Ratchaburi,RBR,51,704976596,2016-01-31,11:52:09
179151618,13.75616107,100.68046955,Bangkok,BKK,4,179151618,2016-01-31,11:52:08
947764086,13.66350252,100.43874231,Bangkok,BKK,4,947764086,2016-01-31,11:52:08
100432008,13.76763784,100.6419352,Bangkok,BKK,4,100432008,2016-01-31,11:52:07
2734128138,13.740604,100.507146,Bangkok,BKK,4,2734128138,2016-01-31,11:52:07
2435343188,16.43295686,102.82559395,Khon Kaen,KKN,16,2435343188,2016-01-31,11:52:06
16038984,13.74080538,100.54008479,Bangkok,BKK,4,16038984,2016-01-31,11:52:05
245923409,13.989398,100.61700636,Pathum Thani,PTE,48,245923409,2016-01-31,11:52:05
