uid;polyline;isLeafNode;value
2;LINESTRING(108.916456049 20.4649255156, 105.203409081 20.4649255156, 105.203409081 16.7518785472, 108.916456049 16.7518785472, 108.916456049 20.4649255156);True;NULL
4;LINESTRING(105.203409081 20.4649255156, 103.346885596 20.4649255156, 103.346885596 18.6084020314, 105.203409081 18.6084020314, 105.203409081 20.4649255156);True;NULL
5;LINESTRING(103.346885596 20.4649255156, 101.490362112 20.4649255156, 101.490362112 18.6084020314, 103.346885596 18.6084020314, 103.346885596 20.4649255156);True;NULL
10;LINESTRING(103.346885596 18.6084020314, 103.230852879 18.6084020314, 103.230852879 18.4923693136, 103.346885596 18.4923693136, 103.346885596 18.6084020314);True;NULL
11;LINESTRING(103.230852879 18.6084020314, 103.114820161 18.6084020314, 103.114820161 18.4923693136, 103.230852879 18.4923693136, 103.230852879 18.6084020314);True;NULL
12;LINESTRING(103.230852879 18.4923693136, 103.114820161 18.4923693136, 103.114820161 18.3763365959, 103.230852879 18.3763365959, 103.230852879 18.4923693136);True;NULL
14;LINESTRING(103.346885596 18.4923693136, 103.288869238 18.4923693136, 103.288869238 18.4343529547, 103.346885596 18.4343529547, 103.346885596 18.4923693136);True;NULL
15;LINESTRING(103.288869238 18.4923693136, 103.230852879 18.4923693136, 103.230852879 18.4343529547, 103.288869238 18.4343529547, 103.288869238 18.4923693136);True;NULL
16;LINESTRING(103.288869238 18.4343529547, 103.230852879 18.4343529547, 103.230852879 18.3763365959, 103.288869238 18.3763365959, 103.288869238 18.4343529547);True;{0.3076923076923077: 'Bueng Kan'}
17;LINESTRING(103.346885596 18.4343529547, 103.288869238 18.4343529547, 103.288869238 18.3763365959, 103.346885596 18.3763365959, 103.346885596 18.4343529547);True;{0.7692307692307693: 'Bueng Kan'}
18;LINESTRING(103.114820161 18.6084020314, 102.882754725 18.6084020314, 102.882754725 18.3763365959, 103.114820161 18.3763365959, 103.114820161 18.6084020314);True;NULL
20;LINESTRING(103.114820161 18.3763365959, 102.998787443 18.3763365959, 102.998787443 18.2603038781, 103.114820161 18.2603038781, 103.114820161 18.3763365959);True;NULL
21;LINESTRING(102.998787443 18.3763365959, 102.882754725 18.3763365959, 102.882754725 18.2603038781, 102.998787443 18.2603038781, 102.998787443 18.3763365959);True;NULL
22;LINESTRING(102.998787443 18.2603038781, 102.882754725 18.2603038781, 102.882754725 18.1442711603, 102.998787443 18.1442711603, 102.998787443 18.2603038781);True;NULL
24;LINESTRING(103.114820161 18.2603038781, 103.056803802 18.2603038781, 103.056803802 18.2022875192, 103.114820161 18.2022875192, 103.114820161 18.2603038781);True;NULL
25;LINESTRING(103.056803802 18.2603038781, 102.998787443 18.2603038781, 102.998787443 18.2022875192, 103.056803802 18.2022875192, 103.056803802 18.2603038781);True;NULL
26;LINESTRING(103.056803802 18.2022875192, 102.998787443 18.2022875192, 102.998787443 18.1442711603, 103.056803802 18.1442711603, 103.056803802 18.2022875192);True;NULL
27;LINESTRING(103.114820161 18.2022875192, 103.056803802 18.2022875192, 103.056803802 18.1442711603, 103.114820161 18.1442711603, 103.114820161 18.2022875192);True;{0.07692307692307693: 'NongKhai'}
30;LINESTRING(103.346885596 18.3763365959, 103.288869238 18.3763365959, 103.288869238 18.318320237, 103.346885596 18.318320237, 103.346885596 18.3763365959);True;{0.9230769230769231: 'Bueng Kan'}
31;LINESTRING(103.288869238 18.3763365959, 103.230852879 18.3763365959, 103.230852879 18.318320237, 103.288869238 18.318320237, 103.288869238 18.3763365959);True;{0.5384615384615384: 'Bueng Kan'}
