uid	polyline	isLeafNode	value
0	LINESTRING(121.920350144 20.44508, 97.325565 20.44508, 97.325565 -2.59520082424, 121.920350144 -2.59520082424, 121.920350144 20.44508)	False	NULL
1	LINESTRING(121.920350144 20.44508, 109.622957572 20.44508, 109.622957572 8.92493958788, 121.920350144 8.92493958788, 121.920350144 20.44508)	True	NULL
2	LINESTRING(109.622957572 20.44508, 97.325565 20.44508, 97.325565 8.92493958788, 109.622957572 8.92493958788, 109.622957572 20.44508)	False	NULL
3	LINESTRING(109.622957572 20.44508, 103.474261286 20.44508, 103.474261286 14.6850097939, 109.622957572 14.6850097939, 109.622957572 20.44508)	False	NULL
4	LINESTRING(109.622957572 20.44508, 106.548609429 20.44508, 106.548609429 17.565044897, 109.622957572 17.565044897, 109.622957572 20.44508)	True	NULL
5	LINESTRING(106.548609429 20.44508, 103.474261286 20.44508, 103.474261286 17.565044897, 106.548609429 17.565044897, 106.548609429 20.44508)	False	NULL
6	LINESTRING(106.548609429 20.44508, 105.011435358 20.44508, 105.011435358 19.0050624485, 106.548609429 19.0050624485, 106.548609429 20.44508)	True	NULL
7	LINESTRING(105.011435358 20.44508, 103.474261286 20.44508, 103.474261286 19.0050624485, 105.011435358 19.0050624485, 105.011435358 20.44508)	True	NULL
8	LINESTRING(105.011435358 19.0050624485, 103.474261286 19.0050624485, 103.474261286 17.565044897, 105.011435358 17.565044897, 105.011435358 19.0050624485)	False	NULL
9	LINESTRING(105.011435358 19.0050624485, 104.242848322 19.0050624485, 104.242848322 18.2850536727, 105.011435358 18.2850536727, 105.011435358 19.0050624485)	True	NULL
10	LINESTRING(104.242848322 19.0050624485, 103.474261286 19.0050624485, 103.474261286 18.2850536727, 104.242848322 18.2850536727, 104.242848322 19.0050624485)	False	NULL
11	LINESTRING(104.242848322 19.0050624485, 103.858554804 19.0050624485, 103.858554804 18.6450580606, 104.242848322 18.6450580606, 104.242848322 19.0050624485)	True	NULL
12	LINESTRING(103.858554804 19.0050624485, 103.474261286 19.0050624485, 103.474261286 18.6450580606, 103.858554804 18.6450580606, 103.858554804 19.0050624485)	True	NULL
13	LINESTRING(103.858554804 18.6450580606, 103.474261286 18.6450580606, 103.474261286 18.2850536727, 103.858554804 18.2850536727, 103.858554804 18.6450580606)	False	NULL
14	LINESTRING(103.858554804 18.6450580606, 103.666408045 18.6450580606, 103.666408045 18.4650558667, 103.858554804 18.4650558667, 103.858554804 18.6450580606)	True	NULL
15	LINESTRING(103.666408045 18.6450580606, 103.474261286 18.6450580606, 103.474261286 18.4650558667, 103.666408045 18.4650558667, 103.666408045 18.6450580606)	True	NULL
16	LINESTRING(103.666408045 18.4650558667, 103.474261286 18.4650558667, 103.474261286 18.2850536727, 103.666408045 18.2850536727, 103.666408045 18.4650558667)	False	NULL
17	LINESTRING(103.666408045 18.4650558667, 103.570334666 18.4650558667, 103.570334666 18.3750547697, 103.666408045 18.3750547697, 103.666408045 18.4650558667)	True	NULL
18	LINESTRING(103.570334666 18.4650558667, 103.474261286 18.4650558667, 103.474261286 18.3750547697, 103.570334666 18.3750547697, 103.570334666 18.4650558667)	True	Bueng Kan
19	LINESTRING(103.570334666 18.3750547697, 103.474261286 18.3750547697, 103.474261286 18.2850536727, 103.570334666 18.2850536727, 103.570334666 18.3750547697)	True	Bueng Kan
20	LINESTRING(103.666408045 18.3750547697, 103.570334666 18.3750547697, 103.570334666 18.2850536727, 103.666408045 18.2850536727, 103.666408045 18.3750547697)	True	Bueng Kan
21	LINESTRING(103.858554804 18.4650558667, 103.666408045 18.4650558667, 103.666408045 18.2850536727, 103.858554804 18.2850536727, 103.858554804 18.4650558667)	False	NULL
22	LINESTRING(103.858554804 18.4650558667, 103.762481424 18.4650558667, 103.762481424 18.3750547697, 103.858554804 18.3750547697, 103.858554804 18.4650558667)	True	NULL
23	LINESTRING(103.762481424 18.4650558667, 103.666408045 18.4650558667, 103.666408045 18.3750547697, 103.762481424 18.3750547697, 103.762481424 18.4650558667)	True	NULL
24	LINESTRING(103.762481424 18.3750547697, 103.666408045 18.3750547697, 103.666408045 18.2850536727, 103.762481424 18.2850536727, 103.762481424 18.3750547697)	True	Bueng Kan
25	LINESTRING(103.858554804 18.3750547697, 103.762481424 18.3750547697, 103.762481424 18.2850536727, 103.858554804 18.2850536727, 103.858554804 18.3750547697)	True	Bueng Kan
26	LINESTRING(104.242848322 18.6450580606, 103.858554804 18.6450580606, 103.858554804 18.2850536727, 104.242848322 18.2850536727, 104.242848322 18.6450580606)	True	NULL
27	LINESTRING(104.242848322 18.2850536727, 103.474261286 18.2850536727, 103.474261286 17.565044897, 104.242848322 17.565044897, 104.242848322 18.2850536727)	False	NULL
28	LINESTRING(104.242848322 18.2850536727, 103.858554804 18.2850536727, 103.858554804 17.9250492848, 104.242848322 17.9250492848, 104.242848322 18.2850536727)	False	NULL
29	LINESTRING(104.242848322 18.2850536727, 104.050701563 18.2850536727, 104.050701563 18.1050514788, 104.242848322 18.1050514788, 104.242848322 18.2850536727)	True	NULL
30	LINESTRING(104.050701563 18.2850536727, 103.858554804 18.2850536727, 103.858554804 18.1050514788, 104.050701563 18.1050514788, 104.050701563 18.2850536727)	True	Bueng Kan
31	LINESTRING(104.050701563 18.1050514788, 103.858554804 18.1050514788, 103.858554804 17.9250492848, 104.050701563 17.9250492848, 104.050701563 18.1050514788)	True	Bueng Kan
32	LINESTRING(104.242848322 18.1050514788, 104.050701563 18.1050514788, 104.050701563 17.9250492848, 104.242848322 17.9250492848, 104.242848322 18.1050514788)	False	NULL
33	LINESTRING(104.242848322 18.1050514788, 104.146774942 18.1050514788, 104.146774942 18.0150503818, 104.242848322 18.0150503818, 104.242848322 18.1050514788)	True	NULL
