,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Amnat Charoen,0,2,9,76,3,8,29,12,7,1,3,1,3,3,0,31,0,8,9,11,3,2,3,19,19,0,0,21,1,6,30,14,8,0,2,0,2,8,2,9,1,0,1,1,5,3,2,15,0,1,6,20,1,5,2,1,2,1,2,0,9,3,24,6,7,16,1,0,0,0,1,88,7,2,0,0,18
Ang Thong,2,0,404,656,3,17,229,93,75,59,6,9,44,55,10,29,37,67,5,10,43,21,85,3,18,4,7,275,0,8,95,7,146,12,96,2,56,96,29,101,10,1,54,4,34,30,19,361,0,30,45,15,3,79,149,12,46,67,7,16,5,142,234,88,6,4,13,5,26,5,16,11,12,29,35,2,4
Phra Nakhon Si Ayutthaya,9,404,0,5130,13,150,1672,584,704,182,72,63,295,345,125,317,169,434,62,85,273,136,414,22,140,36,54,1948,12,69,1026,46,903,45,430,9,378,669,109,746,150,10,313,55,229,149,138,2530,7,103,358,100,15,482,426,87,352,436,76,135,25,423,1737,781,81,58,93,28,126,30,102,126,131,108,105,11,30
Bangkok,76,656,5130,0,77,703,11211,3035,4996,439,368,341,1960,2091,1132,2041,484,2801,266,560,1209,537,1086,152,736,311,425,13021,86,450,4260,278,6377,435,1292,92,1997,4628,349,4878,1387,127,1179,430,1058,549,755,11732,103,443,2673,495,112,3017,822,871,2043,2431,416,1131,248,1530,14140,2057,361,377,364,206,457,239,760,1073,1009,384,306,82,160
Bueng Kan,3,3,13,77,0,4,28,7,6,1,3,0,2,2,2,50,0,5,8,18,2,2,3,4,15,0,2,28,2,60,27,22,15,0,3,0,5,4,0,6,0,0,1,0,5,0,3,24,0,1,5,5,0,4,1,1,2,5,1,3,36,6,11,8,2,4,3,0,2,1,2,7,66,2,3,0,3
Buriram,8,17,150,703,4,0,262,92,102,12,44,5,43,91,12,197,19,52,34,31,39,26,31,22,148,4,19,239,4,23,478,19,113,8,34,2,55,88,11,102,22,2,50,5,41,20,59,245,3,13,41,73,4,98,19,19,38,51,49,20,16,35,215,126,175,94,17,4,8,6,35,166,43,12,8,2,38
Chonburi,29,229,1672,11211,28,262,0,1838,1282,181,121,79,577,1068,147,669,178,767,110,191,402,182,413,50,263,70,113,3303,33,163,1458,94,1713,91,449,14,610,1161,114,1212,272,37,394,92,366,190,417,3303,15,155,690,181,21,1831,309,156,584,704,190,204,76,471,4263,729,133,121,127,52,175,49,305,335,331,143,100,20,55
Chachoengsao,12,93,584,3035,7,92,1838,0,287,62,46,30,155,445,36,184,61,255,36,46,122,56,136,21,68,16,36,1145,9,39,464,31,584,33,172,4,266,416,60,409,42,7,131,18,111,63,223,1113,4,57,222,53,9,627,154,56,212,259,126,60,24,181,1473,297,50,34,39,19,59,20,106,87,74,47,29,7,22
Chiang Mai,7,75,704,4996,6,102,1282,287,0,122,55,55,1901,272,377,347,304,362,41,105,1579,1087,159,26,100,367,225,1272,17,89,497,45,603,65,472,16,186,554,115,614,315,15,489,89,260,474,86,1115,19,454,267,66,17,418,172,152,222,232,49,277,53,230,1474,223,41,36,211,47,345,54,123,115,204,249,48,25,22
Chai Nat,1,59,182,439,1,12,181,62,122,0,10,6,55,38,6,21,64,43,7,5,83,40,49,3,9,8,18,187,2,8,68,5,98,4,208,1,35,82,47,76,10,1,92,5,35,35,17,213,0,34,45,10,1,61,122,8,36,54,10,10,3,106,156,61,10,4,14,2,47,4,11,9,13,30,65,3,2
Chaiyaphum,3,6,72,368,3,44,121,46,55,10,0,9,17,35,9,224,8,29,23,45,24,15,40,9,60,8,7,109,11,30,255,14,47,10,24,2,30,40,10,46,6,4,32,7,52,13,20,148,2,10,24,28,1,62,14,9,16,21,10,10,14,20,113,65,26,23,13,4,9,5,13,34,45,11,6,3,12
Chumphon,1,9,63,341,0,5,79,30,55,6,9,0,28,25,38,29,7,32,9,13,18,9,12,1,5,7,2,120,3,6,53,9,79,50,20,3,28,105,10,165,44,19,17,30,26,9,8,100,9,9,39,6,28,33,11,55,51,49,7,119,6,18,93,28,6,1,7,9,9,16,8,12,17,12,3,5,3
Chiang Rai,3,44,295,1960,2,43,577,155,1901,55,17,28,0,114,103,138,78,123,16,50,458,202,56,5,39,89,94,548,6,44,181,15,240,35,207,7,69,225,65,269,105,8,260,37,101,239,39,486,5,631,100,25,5,168,84,54,86,101,21,72,19,113,608,74,17,12,90,18,81,32,46,56,75,151,22,6,6
Chanthaburi,3,55,345,2091,2,91,1068,445,272,38,35,25,114,0,31,150,42,176,25,51,86,38,105,12,60,21,28,697,7,26,354,25,372,24,94,2,135,252,33,250,52,5,91,25,73,36,120,636,3,23,176,40,6,746,83,39,148,156,112,48,20,124,772,168,42,38,22,10,37,17,266,85,72,30,26,4,14
Krabi,0,10,125,1132,2,12,147,36,377,6,9,38,103,31,0,44,11,65,8,13,29,21,20,5,13,50,11,131,2,7,71,10,87,68,29,22,15,84,8,100,824,62,28,279,78,15,4,126,17,9,73,9,12,39,14,320,38,38,12,296,7,22,278,33,5,2,22,62,11,149,22,15,19,13,6,11,3
Khon Kaen,31,29,317,2041,50,197,669,184,347,21,224,29,138,150,44,0,42,145,354,318,94,59,83,95,1122,18,34,596,84,379,1025,130,282,44,87,7,138,225,27,262,59,9,146,35,192,61,108,626,6,37,96,468,5,266,51,55,89,116,39,55,189,87,608,246,89,128,41,11,39,15,56,339,881,63,14,13,92
Kamphaeng Phet,0,37,169,484,0,19,178,61,304,64,8,7,78,42,11,42,0,46,4,17,213,86,36,3,10,8,19,148,2,8,80,6,83,9,235,2,33,77,37,75,14,4,161,9,41,35,16,177,3,44,38,9,2,66,82,14,27,37,6,8,7,53,146,54,5,3,57,2,157,7,9,11,14,34,35,5,3
Kanchanaburi,8,67,434,2801,5,52,767,255,362,43,29,32,123,176,65,145,46,0,21,51,99,52,108,21,43,33,35,981,12,41,350,15,1014,34,109,3,175,463,25,462,73,9,103,24,100,42,69,848,5,28,560,39,9,213,67,68,258,250,35,71,15,272,876,166,45,21,37,16,47,20,68,52,67,23,30,8,15
Kalasin,9,5,62,266,8,34,110,36,41,7,23,9,16,25,8,354,4,21,0,38,12,10,20,46,309,3,6,72,8,30,146,55,30,4,13,1,23,39,4,50,8,1,19,7,27,14,15,85,0,6,13,144,2,46,8,6,22,22,6,9,60,14,76,44,14,21,4,4,5,3,8,45,85,9,4,1,26
Loei Province,11,10,85,560,18,31,191,46,105,5,45,13,50,51,13,318,17,51,38,0,39,27,30,18,112,5,22,181,44,97,162,25,87,16,39,1,33,69,11,96,25,5,110,18,156,24,26,157,1,14,26,50,5,66,20,25,32,30,13,21,47,33,148,53,20,16,15,6,13,6,25,60,204,26,6,4,18
Lampang,3,43,273,1209,2,39,402,122,1579,83,24,18,458,86,29,94,213,99,12,39,0,454,67,5,35,41,87,380,8,23,159,13,178,22,269,2,49,164,56,180,45,4,243,17,96,281,28,409,1,235,72,23,7,128,116,26,57,80,20,44,13,105,365,80,13,10,106,9,232,10,27,31,55,148,22,4,9
Lamphun,2,21,136,537,2,26,182,56,1087,40,15,9,202,38,21,59,86,52,10,27,454,0,28,5,23,37,36,166,4,17,86,7,87,11,121,1,24,80,29,84,21,2,104,9,50,106,13,172,1,76,41,15,0,55,54,14,27,40,9,24,5,49,171,42,8,7,50,7,99,8,15,19,31,63,16,3,6
