,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Amnat Charoen,0.0,0.00044120891242,0.000316611552804,0.000556805110885,0.00462249614792,0.00153403643337,0.000578345930638,0.000685479264252,0.00024843838728,0.000271444082519,0.00106269925611,0.000415627597672,0.000237925291458,0.000249066002491,0.0,0.00199344093627,0.0,0.000563142334225,0.00316901408451,0.00256052141527,0.000294406280667,0.000374531835206,0.000433588668883,0.0127946127946,0.00271778000286,0.0,0.0,0.000385667848157,0.00117647058824,0.00147094876195,0.00119345984008,0.00610553859573,0.000263088660879,0.0,0.000207619640818,0.0,0.000192381685264,0.000317007449675,0.000671591672263,0.000342400608712,0.000141003948111,0.0,0.000106022052587,0.000329706561161,0.000699594235344,0.000593589236249,0.000399920015997,0.000289983954221,0.0,0.000228728270814,0.000427259132664,0.00456308464522,0.00151057401813,0.000298703626262,0.000317409934931,0.000187336080929,0.000168208578638,7.264274299e-05,0.000738825267824,0.0,0.00392498909725,0.000321164757521,0.00043852436551,0.000458365164248,0.00248667850799,0.00579500181094,0.000330360092501,0.0,0.0,0.0,0.000245278390974,0.0132930513595,0.000895713371721,0.000539665407447,0.0,0.0,0.0116883116883
Ang Thong,0.00324675324675,0.0,0.0142123408147,0.0048061072729,0.00462249614792,0.0032598274209,0.00456693855573,0.00531246429795,0.00266183986371,0.0160152008686,0.00212539851222,0.00374064837905,0.00348957094139,0.00456621004566,0.00168776371308,0.00186483184361,0.00894584139265,0.00471631704913,0.00176056338028,0.00232774674115,0.00421982335623,0.00393258426966,0.012285012285,0.0020202020202,0.00257473895008,0.00202326757714,0.00249910746162,0.00505041229729,0.0,0.00196126501594,0.00377928949358,0.00305276929786,0.00480136806104,0.00440366972477,0.00996574275927,0.00345423143351,0.00538668718738,0.0038040893961,0.00973807924782,0.00384249571999,0.00141003948111,0.000950570342205,0.00572519083969,0.00131882624464,0.00475724080034,0.00593589236249,0.00379924015197,0.00697894716492,0.0,0.00686184812443,0.00320444349498,0.00342231348392,0.00453172205438,0.00471951729494,0.0236470401524,0.00224803297115,0.00386879730866,0.00486706378033,0.00258588843738,0.00284343344589,0.00218054949847,0.0152017985226,0.00427561256372,0.00672268907563,0.00213143872114,0.00144875045273,0.00429468120251,0.00364166059723,0.00653759114911,0.00277932184547,0.00392445425558,0.00166163141994,0.00153550863724,0.00782514840799,0.0162337662338,0.00267379679144,0.0025974025974
Phra Nakhon Si Ayutthaya,0.0146103896104,0.0891242003088,0.0,0.0375843449847,0.020030816641,0.0287631831256,0.0333446343458,0.0333599908603,0.0249858035207,0.0494028230185,0.0255047821467,0.0261845386534,0.0233959869934,0.0286425902864,0.0210970464135,0.0203845411871,0.0408607350097,0.0305504716317,0.0218309859155,0.0197858472998,0.0267909715407,0.025468164794,0.0598352363058,0.0148148148148,0.0200257473895,0.0182094081942,0.0192788289896,0.0357752842005,0.0141176470588,0.0169159107624,0.0408163265306,0.020061055386,0.0296961325967,0.0165137614679,0.0446382227759,0.0155440414508,0.0363601385148,0.0265097479791,0.0366017461383,0.028381206011,0.0211505922166,0.00950570342205,0.0331849024597,0.0181338608638,0.0320414159787,0.0294815987337,0.0275944811038,0.0489106269453,0.0093085106383,0.0235590118939,0.0254931282489,0.0228154232261,0.0226586102719,0.0287950295717,0.0676083161403,0.0162982390408,0.0296047098402,0.0316722359436,0.0280753601773,0.0239914696997,0.0109027474924,0.0452842308104,0.0317382009538,0.0596638655462,0.0287744227353,0.0210068815647,0.0307234886026,0.0203932993445,0.0316821724918,0.0166759310728,0.0250183958793,0.0190332326284,0.0167626359565,0.0291419320022,0.0487012987013,0.0147058823529,0.0194805194805
Bangkok,0.123376623377,0.144716523274,0.180468585098,0.0,0.118644067797,0.134803451582,0.2235805596,0.173369130584,0.177314026122,0.119163952226,0.130357775416,0.141729010806,0.155444523753,0.173599003736,0.191054852321,0.131245579062,0.117021276596,0.197170209771,0.093661971831,0.130353817505,0.118645731109,0.100561797753,0.156959098136,0.102356902357,0.105278214848,0.157309054122,0.151731524456,0.239132430993,0.101176470588,0.110321157146,0.169471297291,0.121238552115,0.209714548803,0.159633027523,0.134122287968,0.158894645941,0.192093112736,0.183388809637,0.11719274681,0.185581129922,0.195572476029,0.12072243346,0.125,0.141773821299,0.148034140199,0.108626830233,0.150969806039,0.226806116728,0.136968085106,0.101326623971,0.190343943602,0.112936344969,0.16918429003,0.180237768087,0.130455483257,0.163169726489,0.171825063078,0.176594508209,0.153675655707,0.200995201706,0.108155255124,0.163794026336,0.25836393868,0.157142857143,0.128241563055,0.13654473017,0.12025107367,0.150036416606,0.114910736736,0.132851584213,0.18641157714,0.162084592145,0.129110684581,0.10361575823,0.141929499072,0.109625668449,0.103896103896
Bueng Kan,0.00487012987013,0.00066181336863,0.000457327798494,0.000564131493923,0.0,0.000767018216683,0.000558402967513,0.000399862904147,0.000212947189097,0.000271444082519,0.00106269925611,0.0,0.000158616860972,0.00016604400166,0.000337552742616,0.00321522731657,0.0,0.000351963958891,0.00281690140845,0.00418994413408,0.000196270853778,0.000374531835206,0.000433588668883,0.0026936026936,0.00214561579173,0.0,0.00071403070332,0.000514223797543,0.00235294117647,0.0147094876195,0.00107411385607,0.00959441779328,0.000493291239148,0.0,0.000311429461227,0.0,0.000480954213159,0.000158503724838,0.0,0.000228267072475,0.0,0.0,0.000106022052587,0.0,0.000699594235344,0.0,0.000599880023995,0.000463974326754,0.0,0.000228728270814,0.00035604927722,0.00114077116131,0.0,0.00023896290101,0.000158704967465,0.000187336080929,0.000168208578638,0.00036321371495,0.000369412633912,0.000533143771104,0.015699956389,0.000642329515041,0.000200990334192,0.00061115355233,0.000710479573712,0.00144875045273,0.000991080277502,0.0,0.000502891626854,0.000555864369094,0.000490556781948,0.00105740181269,0.0084452975048,0.000539665407447,0.00139146567718,0.0,0.00194805194805
Buriram,0.012987012987,0.00375027575557,0.0052768592134,0.00515044727568,0.00616332819723,0.0,0.00522505633887,0.00525534102593,0.00362010221465,0.00325732899023,0.0155862557563,0.00207813798836,0.0034102625109,0.00755500207555,0.0020253164557,0.0126679956273,0.00459381044487,0.00366042517246,0.0119718309859,0.00721601489758,0.00382728164868,0.00486891385768,0.00448041624512,0.0148148148148,0.0211700758118,0.00202326757714,0.00678329168154,0.00438926741474,0.00470588235294,0.00563863692081,0.0190157934519,0.0082860880942,0.00371612733491,0.00293577981651,0.00352953389391,0.00345423143351,0.00529049634475,0.00348708194643,0.00369375419745,0.00388054023207,0.00310208685843,0.00190114068441,0.00530110262935,0.0016485328058,0.00573667272982,0.00395726157499,0.0117976404719,0.00473640458561,0.00398936170213,0.00297346752059,0.0029196040732,0.0166552589551,0.00604229607251,0.00585459107474,0.00301539438184,0.00355938553765,0.00319596299411,0.00370477989249,0.0181012190617,0.00355429180736,0.00697775839512,0.00374692217107,0.00392844744103,0.0096256684492,0.0621669626998,0.0340456356393,0.00561612157251,0.00291332847779,0.00201156650742,0.00333518621456,0.00858474368408,0.0250755287009,0.00550223928343,0.00323799244468,0.00371057513915,0.00267379679144,0.0246753246753
Chonburi,0.0470779220779,0.0505184204721,0.0588193906987,0.0821360802385,0.0431432973806,0.0502396931927,0.0,0.104992573975,0.0454997160704,0.0491313789359,0.0428622033298,0.0328345802161,0.0457609643905,0.0886674968867,0.0248101265823,0.0430197414957,0.0430367504836,0.0539912712938,0.0387323943662,0.0444599627561,0.0394504416094,0.0340823970037,0.0596907067495,0.03367003367,0.0376197968817,0.0354071825999,0.0403427347376,0.0606600429744,0.0388235294118,0.0399607746997,0.0580021482277,0.0409943305713,0.0563338595107,0.0333944954128,0.0466106093636,0.0241796200345,0.0586764140054,0.0460057061341,0.038280725319,0.0461099486399,0.0383530738861,0.0351711026616,0.0417726887193,0.0303330036268,0.0512102980271,0.0375939849624,0.0833833233353,0.0638544667195,0.0199468085106,0.0354528819762,0.0491348002564,0.0412959160392,0.0317220543807,0.109385267937,0.0490398349468,0.029224428625,0.0491169049622,0.0511404910649,0.0701884004433,0.036253776435,0.0331443523768,0.0504228669307,0.0778928904237,0.0556913674561,0.0472468916519,0.0438247011952,0.0419557317476,0.0378732702112,0.0440030173498,0.0272373540856,0.074809909247,0.0506042296073,0.0423544465771,0.0385860766325,0.0463821892393,0.0267379679144,0.0357142857143
Chachoengsao,0.0194805194805,0.0205162144275,0.0205445718708,0.0222355725202,0.0107858243451,0.0176414189837,0.0366551662246,0.0,0.0101859738785,0.0168295331162,0.016294721927,0.0124688279302,0.0122928067254,0.0369447903694,0.00607594936709,0.011832036525,0.014748549323,0.0179501619034,0.012676056338,0.0107076350093,0.0119725220805,0.0104868913858,0.019656019656,0.0141414141414,0.00972679158919,0.00809307030855,0.0128525526598,0.0210280802924,0.0105882352941,0.00956116695268,0.0184588455265,0.0135194068905,0.0192054722441,0.0121100917431,0.0178552891103,0.00690846286701,0.0255867641401,0.0164843873831,0.0201477501679,0.0155602054404,0.00592216582064,0.00665399239544,0.0138888888889,0.00593471810089,0.0155309920246,0.0124653739612,0.0445910817836,0.0215168094032,0.00531914893617,0.0130375114364,0.0158085879086,0.0120921743098,0.0135951661631,0.0374574347333,0.0244405649897,0.010490820532,0.0178301093356,0.0188144704344,0.0465459918729,0.0106628754221,0.0104666375927,0.0193769403704,0.0269144329332,0.0226890756303,0.0177619893428,0.0123143788482,0.0128840436075,0.0138383102695,0.0148353029922,0.0111172873819,0.0259995094432,0.0131419939577,0.00946896992962,0.012682137075,0.0134508348794,0.00935828877005,0.0142857142857
Chiang Mai,0.0113636363636,0.0165453342158,0.0247660592415,0.0366026096576,0.00924499229584,0.0195589645254,0.0255668787268,0.01639437907,0.0,0.0331161780673,0.0194828196954,0.022859517872,0.150765326354,0.0225819842258,0.0636286919831,0.022313677577,0.073500967118,0.0254821906237,0.0144366197183,0.0244413407821,0.154955839058,0.203558052434,0.0229801994508,0.0175084175084,0.0143041052782,0.185634800202,0.0803284541235,0.0233604525169,0.02,0.0218190733023,0.0197716513506,0.0196249454863,0.0198303078137,0.0238532110092,0.0489982352331,0.027633851468,0.0178914967295,0.02195276589,0.0386165211551,0.0233593304166,0.0444162436548,0.0142585551331,0.051844783715,0.0293438839433,0.0363789002379,0.0937870993273,0.0171965606879,0.0215554739304,0.0252659574468,0.10384263495,0.0190130314035,0.0150581793292,0.0256797583082,0.0249716231555,0.0272972544041,0.0284750843012,0.0186711522288,0.0168531163737,0.0181012190617,0.0492269415319,0.0231138246838,0.0246226314099,0.0269327047817,0.0170359052712,0.0145648312611,0.0130387540746,0.0697059795177,0.034231609614,0.0867488056324,0.0300166759311,0.0301692420898,0.0173716012085,0.026103646833,0.0671883432272,0.0222634508349,0.033422459893,0.0142857142857
Chai Nat,0.00162337662338,0.0130156629164,0.00640258917892,0.00321628215366,0.00154083204931,0.00230105465005,0.00360967632571,0.0035416428653,0.00432992617831,0.0,0.0035423308537,0.00249376558603,0.00436196367674,0.00315483603155,0.00101265822785,0.00135039547296,0.0154738878143,0.00302689004646,0.00246478873239,0.00116387337058,0.0081452404318,0.00749063670412,0.00708194825842,0.0020202020202,0.00128736947504,0.00404653515427,0.00642627632988,0.00343428036216,0.00235294117647,0.00196126501594,0.00270517563751,0.00218054949847,0.00322283609576,0.00146788990826,0.0215924426451,0.00172711571675,0.00336667949211,0.00324932635917,0.0157824042982,0.00289138291801,0.00141003948111,0.000950570342205,0.009754028838,0.0016485328058,0.0048971596474,0.00692520775623,0.00339932013597,0.00411777214994,0.0,0.00777676120769,0.00320444349498,0.00228154232261,0.00151057401813,0.0036441842404,0.0193620060308,0.00149868864743,0.00302775441548,0.00392270812146,0.00369412633912,0.00177714590368,0.00130832969908,0.0113478214324,0.00285040837582,0.00466004583652,0.00355239786856,0.00144875045273,0.00462504129501,0.00145666423889,0.0118179532311,0.00222345747638,0.00269806230071,0.00135951661631,0.00166346769034,0.00809498111171,0.0301484230056,0.00401069518717,0.0012987012987
