,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Amnat Charoen,0.0,0.00199401794616,0.00129701686122,0.00114918067674,0.00837988826816,0.0048163756773,0.00174467573096,0.00314547837484,0.000614439324117,0.00127877237852,0.00319829424307,0.00247218788628,0.000548546352167,0.00129954515919,0.0,0.00584174190122,0.0,0.00205338809035,0.00982532751092,0.00887573964497,0.000974025974026,0.00135317997294,0.00176366843034,0.0378486055777,0.00646918624447,0.0,0.0,0.00148224527937,0.00259067357513,0.00480769230769,0.00391440501044,0.0189873417722,0.000974777628853,0.0,0.000866551126516,0.0,0.000761904761905,0.00130825838103,0.0025974025974,0.00154012012937,0.000347947112039,0.0,0.000392618767177,0.00130123617437,0.00212224108659,0.00218023255814,0.00140154169587,0.0010216591745,0.0,0.000677506775068,0.00150037509377,0.0152949745084,0.0026455026455,0.00131233595801,0.00170502983802,0.000397614314115,0.000760456273764,0.000333222259247,0.00251889168766,0.000278473962684,0.010593220339,0.00135379061372,0.00151957919345,0.00209497206704,0.00755939524838,0.013698630137,0.00114416475973,0.0,0.0,0.0,0.000721500721501,0.0299014610941,0.00263504611331,0.00227531285552,0.0,0.0,0.0357142857143
Ang Thong,0.00199401794616,0.0,0.0565175232027,0.00940763094884,0.00289296046287,0.00729300729301,0.0136281218927,0.0213055303717,0.00579688875844,0.0420527441197,0.00371747211896,0.00675675675676,0.00753480753481,0.0151147098516,0.00208887200912,0.00457991156033,0.021511627907,0.0150609080842,0.00312695434647,0.00541338582677,0.0118343195266,0.00982226379794,0.0383442265795,0.00250626566416,0.00525442477876,0.0028388928318,0.00443599493029,0.0174393074462,0.0,0.0037488284911,0.0115984052193,0.00473933649289,0.0169220214955,0.00592007893439,0.0331835464915,0.00116754232341,0.0175438596491,0.0144668158091,0.0203938115331,0.0145500776946,0.00202618453865,0.00154918667699,0.0170185943902,0.00225937641211,0.0119840213049,0.0147928994083,0.00909526089038,0.0246568039451,0.000789265982636,0.0141110065851,0.00970036645829,0.00728862973761,0.00284360189573,0.015845410628,0.0880281690141,0.00280948200176,0.0143995098039,0.0185390149419,0.00476839237057,0.0042323066071,0.00307125307125,0.0515239477504,0.0135404221426,0.0257225433526,0.00373599003736,0.00215169445939,0.00843608046723,0.00386349001932,0.0152046783626,0.00328299409061,0.00829673011225,0.0029737766964,0.00323362974939,0.0189418680601,0.0278440731901,0.00248344370861,0.00334168755221
Phra Nakhon Si Ayutthaya,0.00129701686122,0.0565175232027,0.0,0.0724428265763,0.00200889654183,0.0186755129623,0.0792024113146,0.0602739726027,0.0386384058354,0.0251972864461,0.0101509282757,0.0100557140916,0.0260456435056,0.0376390076989,0.0136417020508,0.0273023294648,0.0227121795723,0.0450754567117,0.00855271949753,0.0111420612813,0.0300360857567,0.0173279758915,0.0529910206146,0.00308945372841,0.0153715678999,0.00519267559442,0.00749464668094,0.0981616371835,0.00185820468839,0.00885949588221,0.0784993219828,0.00623221785666,0.0661062010491,0.00821018062397,0.0514420247204,0.00130753138075,0.0436696005416,0.0566241087713,0.0151015925316,0.0631834750911,0.0156801576225,0.00179980617472,0.0359240849526,0.00827773659501,0.0267459138187,0.0192356687898,0.0176968777651,0.138166675565,0.0012496528742,0.0131348511384,0.0356690381054,0.0128885519333,0.00272128329991,0.0465333582508,0.0579375848033,0.00944131658727,0.0404767258826,0.0481376606404,0.0107644093201,0.0185480654168,0.00370959194489,0.0507487520799,0.081039268326,0.0909090909091,0.0108375702435,0.00748580278782,0.0128343690894,0.00428380187416,0.0169513971659,0.00484196368527,0.0141826009877,0.0133319336553,0.014164305949,0.0146044624746,0.0150112233446,0.00182047332306,0.00421703682879
Bangkok,0.00114918067674,0.00940763094884,0.0724428265763,0.0,0.00114861032331,0.0100855445211,0.151133367778,0.0433294361257,0.0664173561128,0.00629082304935,0.00540975733778,0.00623132373143,0.0281229206556,0.0296732154643,0.0188694657736,0.0285582680792,0.00690395177117,0.0402525429674,0.00390757250875,0.00812367127994,0.0173435267021,0.0076854987144,0.0155557437678,0.00220947524963,0.0106315411593,0.00447224659628,0.00622295137612,0.181314897954,0.00126173126542,0.00659806550335,0.0591161121983,0.004070268666,0.0899555432064,0.00836549024026,0.0184314331036,0.00151753597122,0.0288606808523,0.0653914838998,0.00501004840216,0.0701257773935,0.0240135834411,0.00254690550981,0.016918842645,0.00752354617296,0.0151714301695,0.00783822577468,0.0108034920948,0.163154074744,0.00186712307453,0.00639901208235,0.0378835535053,0.00714225459045,0.00212859555265,0.0430648691603,0.0117158723862,0.0144747836869,0.0291637832418,0.0346961263527,0.00594766058684,0.0205401819036,0.00363708131273,0.0219166490374,0.195932166272,0.0292544205429,0.00519737306687,0.00546201925784,0.00532952585598,0.00352758572033,0.00667852705298,0.00452175387528,0.011509348698,0.0154667036241,0.0143535371711,0.00551384824193,0.00439448279773,0.00151418665535,0.00230881457244
Bueng Kan,0.00837988826816,0.00289296046287,0.00200889654183,0.00114861032331,0.0,0.0029429075927,0.00180115273775,0.00181582360571,0.000536151960784,0.00122399020808,0.00308324768756,0.00236966824645,0.000363306085377,0.000642054574639,0.000864117519983,0.00900105894811,0.0,0.00127097102186,0.00840336134454,0.013768115942,0.000963081861958,0.00198412698413,0.00172811059908,0.00724637681159,0.00571620712845,0.0,0.00319829424307,0.0018009905448,0.0047619047619,0.0417246175243,0.00363589144267,0.0281517747858,0.00182149362477,0.00143575017947,0.00128095644748,0.0,0.00225903614458,0.000649983750406,0.0,0.000918554807103,0.00051885160844,0.00154320987654,0.00077489345215,0.0,0.00209117524049,0.0,0.00205338809035,0.00169987080982,0.0016051364366,0.00066181336863,0.00123915737299,0.00351123595506,0.0,0.000867867216316,0.000827129859388,0.000790045427612,0.000750469043152,0.00164907651715,0.00120481927711,0.00248756218905,0.0377754459601,0.00311526479751,0.000641025641026,0.0027614773904,0.00207039337474,0.00411861614498,0.00330760749724,0.0,0.00183486238532,0.00226757369615,0.00140845070423,0.00294406280667,0.0219050779954,0.00218818380744,0.0046511627907,0.0,0.00723327305606
Buriram,0.0048163756773,0.00729300729301,0.0186755129623,0.0100855445211,0.0029429075927,0.0,0.0152908649777,0.0183179042742,0.00736015701668,0.00567644276254,0.020098258151,0.00326036329762,0.00649830158027,0.0212324024925,0.00219298245614,0.0296057452733,0.00791007493755,0.0102040816327,0.0156739811912,0.0123410620793,0.0095802919708,0.00929567393636,0.011620185923,0.0119435396308,0.0359036144578,0.00192957067053,0.0085201793722,0.0145423952887,0.00231749710313,0.00862688713156,0.0567118802619,0.00892437764209,0.0122855327261,0.00445930880713,0.010232300885,0.00168421052632,0.0140485312899,0.0122017353579,0.00570613409415,0.0140881478609,0.00396319886766,0.00153531218014,0.01328125,0.00313261399234,0.0117454247473,0.00740192450037,0.0221238938053,0.015704154002,0.00207468879668,0.00463127894549,0.00772564537403,0.0277882087871,0.00408163265306,0.0171791788353,0.00760304121649,0.00377893245158,0.00965201930404,0.0125844791424,0.0239348970799,0.00529639437767,0.00745614035088,0.00992344768925,0.0119934282585,0.0310817425355,0.0843258694616,0.0386354295109,0.0077237619264,0.00225428313796,0.00334448160535,0.00412276683463,0.0137393241738,0.0409328891004,0.0108294930876,0.00542495479204,0.0041067761807,0.00106780565937,0.0207991242474
Chonburi,0.00174467573096,0.0136281218927,0.0792024113146,0.151133367778,0.00180115273775,0.0152908649777,0.0,0.102045280542,0.0478349337807,0.0108721342472,0.00711619225385,0.00640159746285,0.0288397998678,0.059102815979,0.0104312551311,0.0325138406681,0.0104511409162,0.0406934869843,0.00653518496907,0.0112622913332,0.0216887765845,0.0107288828338,0.0239095865516,0.00309634393236,0.0143090115209,0.0041794207676,0.00701303255216,0.118227119596,0.002158791077,0.0097638510445,0.0658058217962,0.00569482768743,0.076457428609,0.00752008203726,0.0249147508525,0.00103788271925,0.034384892479,0.0560782837787,0.00677187610411,0.0588126159555,0.0177501152605,0.00290112492599,0.0218744923927,0.00681959082455,0.0202009172308,0.0110216435383,0.0243480267713,0.122602591011,0.00130239166469,0.00924088667158,0.0358707836543,0.0107815173987,0.00179920834833,0.0983081126524,0.0181521992088,0.00978723404255,0.0324601056587,0.038806772373,0.0114609795002,0.0163290299536,0.00470984998256,0.0266858598162,0.14990205849,0.0403230177226,0.0079429973134,0.00724846114019,0.00755667506297,0.00385086644495,0.0104051618904,0.00409260991581,0.0185749611824,0.0185224163334,0.0180279617366,0.00843980775993,0.00611820611821,0.0014852661597,0.00333512000476
Chachoengsao,0.00314547837484,0.0213055303717,0.0602739726027,0.0433294361257,0.00181582360571,0.0183179042742,0.102045280542,0.0,0.0187365177196,0.0146849834202,0.0106939704209,0.00889096864764,0.0187329700272,0.0740740740741,0.00696257615318,0.0211275436451,0.0139503985828,0.0362440526168,0.00865998176846,0.00996470832468,0.0191950464396,0.0115759545085,0.0276406712734,0.00524868782804,0.0111180707798,0.00379236785968,0.00846681922197,0.0652307692308,0.00257864878804,0.00832825512899,0.0441149039358,0.0072514619883,0.053312955138,0.00913431596429,0.0308674827036,0.00132421099095,0.0460908159781,0.0460869565217,0.0142416330406,0.0449133068728,0.00652812534001,0.00268031189084,0.0223086023323,0.0049850448654,0.0200104402297,0.0130786796761,0.0473762481411,0.0663932024612,0.00146914789422,0.0117886178862,0.0309023485785,0.0111547200992,0.00310237849018,0.0857411638221,0.0345132743363,0.00731908865541,0.035804762709,0.0418135213073,0.0304556354916,0.0119845912398,0.00564334085779,0.0330503882969,0.078156836111,0.0499340804219,0.0114051094891,0.00731025585896,0.00899239105372,0.00481651376147,0.0133392618942,0.00601295097132,0.023664921466,0.0139708165166,0.0122177544077,0.0108419838524,0.00734573947111,0.00198757763975,0.00549862534366
Chiang Mai,0.000614439324117,0.00579688875844,0.0386384058354,0.0664173561128,0.000536151960784,0.00736015701668,0.0478349337807,0.0187365177196,0.0,0.00943184370088,0.0043433451119,0.00513240107111,0.120123266564,0.0181912011353,0.0270109824874,0.0203696508853,0.0229381634623,0.0237977805179,0.00338708489802,0.00795413830168,0.112795206204,0.0843336646533,0.0117994100295,0.00212201591512,0.0068158436214,0.0283177713149,0.0171924054418,0.0490305326499,0.00137709433096,0.0065373410076,0.0262654724766,0.00349182763744,0.0306479428431,0.00773971621041,0.0328883996147,0.00138494059334,0.0130857180623,0.0320723684211,0.00875945197275,0.0354774357039,0.02289483896,0.00173023395772,0.0341787603418,0.00785562632696,0.0179766168818,0.0351393075057,0.00619481629165,0.0446867731727,0.00211113624369,0.033756197142,0.0169212977053,0.00520573343792,0.00168466191898,0.0263111005524,0.0127718581229,0.0116371933828,0.0152277542373,0.0155199172271,0.00379266750948,0.0236853678457,0.00411764705882,0.0159324572751,0.0537133170887,0.0153224228989,0.00316362566215,0.00259927797834,0.0162425149701,0.00488310150932,0.0261784009547,0.00534164255509,0.0102538362254,0.00787956438181,0.0134517603141,0.0188268826883,0.00376931775349,0.00196850393701,0.00166641417967
Chai Nat,0.00127877237852,0.0420527441197,0.0251972864461,0.00629082304935,0.00122399020808,0.00567644276254,0.0108721342472,0.0146849834202,0.00943184370088,0.0,0.00720461095101,0.00475435816165,0.00970708446866,0.0108540417024,0.00138668779715,0.00343249427918,0.0442176870748,0.0101922631457,0.00509090909091,0.00275330396476,0.0246020260492,0.0216244725738,0.0232007575758,0.00307692307692,0.00264394829612,0.00676246830093,0.0133828996283,0.0119559716599,0.00237529691211,0.00418410041841,0.00853749072012,0.00397772474145,0.0116658889407,0.00331308669244,0.0817044566067,0.00134138162307,0.0114791734995,0.0127751269817,0.0397631133672,0.0113339145597,0.00177533892834,0.000934579439252,0.0315825609337,0.00351935646053,0.0129403306973,0.0194336479733,0.00909577314072,0.0144597670371,0.000956937799043,0.0178947368421,0.0104166666667,0.00543183052689,0.00360144057623,0.0126709573612,0.0815109343936,0.00145958766648,0.012123197903,0.015859030837,0.00804505229284,0.0029725043349,0.00213068181818,0.0412451361868,0.00900435879789,0.018989280245,0.00724637681159,0.0024434941967,0.0121580547112,0.00149812734082,0.0320381731425,0.00538876058507,0.00655021834061,0.00258695027307,0.00372706422018,0.0237184391737,0.0646766169154,0.00406091370558,0.00204708290686
