,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Amnat Charoen,0.0,0.00202634245187,0.00132255694342,0.0011026798021,0.00862068965517,0.00492307692308,0.00177794126663,0.00319233838787,0.000552355401247,0.00130208333333,0.00327510917031,0.00158227848101,0.000568828213879,0.000985545335085,0.0,0.00560173473076,0.0,0.00210249671485,0.0101351351351,0.0083081570997,0.000995355009954,0.00137457044674,0.00179748352307,0.0385395537525,0.00665965650193,0.0,0.0,0.00137120470127,0.00268096514745,0.00423131170663,0.00400427122264,0.0181347150259,0.000989609104404,0.0,0.000884173297966,0.0,0.000777907429016,0.00133089336217,0.00263504611331,0.00143701101708,0.000229726625316,0.0,0.0004,0.000819000819001,0.00216356555604,0.00222057735011,0.00142348754448,0.00104108828429,0.0,0.000694444444444,0.00153806716227,0.0148698884758,0.00316455696203,0.00112258643916,0.00172117039587,0.000245037980887,0.000770712909441,0.000337837837838,0.00255427841635,0.0,0.00982532751092,0.00137174211248,0.00142483970553,0.00212314225053,0.00770077007701,0.0141843971631,0.00116686114352,0.0,0.0,0.0,0.000768639508071,0.0308988764045,0.00236326806212,0.00232288037166,0.0,0.0,0.0365853658537
Ang Thong,0.00202634245187,0.0,0.0570379782578,0.00950504230903,0.00293829578844,0.00742682394059,0.0136439466158,0.0213743966904,0.00564844103028,0.0426608821403,0.00378310214376,0.00693909020817,0.0074500507958,0.0150068212824,0.00234301780694,0.00467063939443,0.0218934911243,0.0151618013125,0.00319488817891,0.00500500500501,0.0117905127502,0.0099573257468,0.037610619469,0.00253807106599,0.00510348738305,0.00287976961843,0.00451612903226,0.017478072963,0.0,0.00382958353279,0.0117283950617,0.00482093663912,0.0169393201067,0.00721587492483,0.0337909186906,0.001287001287,0.0175548589342,0.0145542753184,0.020640569395,0.0147574517826,0.00199322304166,0.000868055555556,0.0173076923077,0.00211528291909,0.0115059221658,0.0150225338007,0.00921882581271,0.0244994910078,0.0,0.0143953934741,0.00992282249173,0.00741473059812,0.00303951367781,0.0156342766673,0.0882701421801,0.00253004427577,0.0142679900744,0.0187832912812,0.00482425913163,0.00488102501525,0.00313873195229,0.0521866960676,0.0135205408216,0.0257535850161,0.00379027163613,0.00220628792057,0.00856389986825,0.00348675034868,0.0155595451825,0.00369276218612,0.00816743236345,0.00305725403002,0.00330578512397,0.0192435301924,0.0282258064516,0.00179051029543,0.00339270568278
Phra Nakhon Si Ayutthaya,0.00132255694342,0.0570379782578,0.0,0.0729034916935,0.00190169689877,0.0187946372635,0.0789946140036,0.0602994321115,0.0381076106961,0.0256880733945,0.00980258679374,0.00891341256367,0.0256968641115,0.0375,0.0125275606334,0.0269879107781,0.0228904239469,0.0439404677534,0.00845492976953,0.0109705730511,0.0295390608093,0.0173935285842,0.0533780299123,0.00314825414997,0.0151679306609,0.00501253132832,0.00736899563319,0.0979583626672,0.00174927113703,0.00878645103782,0.0789595197784,0.00635534678088,0.0659750127859,0.00603621730382,0.0516082573212,0.00122083559414,0.043483262395,0.0564652261985,0.0152447552448,0.0620425815037,0.0140160717623,0.00143513203215,0.0360349988487,0.0071754729289,0.0266744321491,0.0193431130728,0.0177674777907,0.137567288348,0.00100300902708,0.0131444614599,0.0356325271225,0.0128816179312,0.00220588235294,0.0460143198091,0.058872305141,0.00829124178023,0.0402607800526,0.0483209575529,0.0105453031775,0.0150267141585,0.00337929170046,0.0511796733212,0.0803088446068,0.0913557141186,0.0110459566344,0.00764767932489,0.0128046261875,0.00386954118297,0.0170362358031,0.0041934582052,0.0132501948558,0.013536742587,0.0140317052271,0.0148903901834,0.0150107219442,0.00158661474109,0.00429922613929
Bangkok,0.0011026798021,0.00950504230903,0.0729034916935,0.0,0.00111663790478,0.0100986884634,0.151885872216,0.043720019015,0.0654209278877,0.00636112036863,0.00531530750787,0.00494382022472,0.0272222222222,0.0300262783785,0.0159087076283,0.0282659575941,0.00698886690829,0.0401893966569,0.00383760856393,0.0080624262144,0.0171511256756,0.00771518469032,0.0156780089217,0.00220152658488,0.0103926912269,0.00450124471719,0.00614677041451,0.183399532381,0.00124690087138,0.00646022653861,0.0592118979776,0.00401786359498,0.0905849598,0.00628158844765,0.0185485607638,0.00132423640499,0.0288337977736,0.0660444672774,0.00505101671612,0.0696091442271,0.0193579902303,0.00183961990845,0.0168416541676,0.00618927671824,0.0151270356443,0.00790064471563,0.0108891613182,0.164373581416,0.00149128395205,0.00635754366327,0.0382310453824,0.00711687490115,0.00162582743003,0.0430231729055,0.0119087287215,0.0121150582802,0.029507344339,0.0351234594657,0.00602444534554,0.0161173100765,0.00357554786621,0.0220642314293,0.198008710143,0.0296150191483,0.00521389988157,0.00542836573074,0.00526186449253,0.00297502996693,0.00659927797834,0.00345725444814,0.0109786926688,0.0152099339438,0.0142830853729,0.00555218183396,0.00443613273605,0.00118759685432,0.00231773209914
Bueng Kan,0.00862068965517,0.00293829578844,0.00190169689877,0.00111663790478,0.0,0.00240384615385,0.00171285251116,0.0018425901553,0.000472106381305,0.00124533001245,0.00315457413249,0.0,0.000376647834275,0.000649350649351,0.000549752611325,0.00900900900901,0.0,0.00130106687484,0.00865800865801,0.0133136094675,0.000655737704918,0.00134228187919,0.00176056338028,0.0073664825046,0.0051867219917,0.0,0.00218102508179,0.00182493645311,0.004914004914,0.0428877769836,0.00358565737052,0.0275344180225,0.00184911242604,0.0,0.00130662020906,0.0,0.00192086054552,0.000661157024793,0.0,0.000952229804793,0.0,0.0,0.000394477317554,0.0,0.00213128729753,0.0,0.00208478109798,0.001662740751,0.0,0.000677966101695,0.00127000254001,0.00358422939068,0.0,0.000890868596882,0.000834724540902,0.000242954324587,0.000760456273764,0.0016716817118,0.001221001221,0.00113079532605,0.038961038961,0.00270392068499,0.000651195832347,0.00279818118223,0.00210748155954,0.00340425531915,0.00337078651685,0.0,0.00189214758751,0.00138888888889,0.00149812734082,0.0023616734143,0.0224642614023,0.00223214285714,0.00473186119874,0.0,0.00553505535055
Buriram,0.00492307692308,0.00742682394059,0.0187946372635,0.0100986884634,0.00240384615385,0.0,0.0150617993676,0.0184147317854,0.00734077006117,0.00578592092575,0.0200729927007,0.0025706940874,0.00656388337658,0.0212965129885,0.00244399185336,0.029468960359,0.00807823129252,0.0102402520677,0.0155963302752,0.0118275467379,0.00908032596042,0.00946142649199,0.0104800540906,0.0121748754842,0.0366245978718,0.00196753566158,0.00870760769936,0.014560740831,0.00237107291049,0.00846210448859,0.0571701949528,0.00911708253359,0.0121557659208,0.00346170488966,0.00958556526642,0.00090991810737,0.0143415906128,0.0121412803532,0.00532172230285,0.0136236142647,0.00389449460081,0.00111420612813,0.0132696390658,0.00197316495659,0.0114142538976,0.00754432289702,0.022138836773,0.0158115521136,0.00166481687014,0.00473588342441,0.00791047655798,0.027980068992,0.00245398773006,0.0172595984502,0.00771730300569,0.00353159851301,0.00980392156863,0.0120652945351,0.0238675109596,0.00510464522716,0.00718778077269,0.0100806451613,0.0119643850863,0.0313199105145,0.0850340136054,0.0397127165188,0.00787766450417,0.001924001924,0.00342906129447,0.00300450676014,0.0135448916409,0.0406165891852,0.0101343389111,0.00553505535055,0.00418628990058,0.00113571834185,0.0212409167132
Chonburi,0.00177794126663,0.0136439466158,0.0789946140036,0.151885872216,0.00171285251116,0.0150617993676,0.0,0.102355627332,0.046750784042,0.0108957380207,0.00719296159791,0.00476535167089,0.0278421154217,0.0593234460923,0.00754542654758,0.0319789674952,0.0105325443787,0.0402202412166,0.00654333472131,0.0111253494874,0.0215676806696,0.0105208393549,0.0238963142973,0.00303287637996,0.0141147426609,0.00419815281276,0.00672819291456,0.117724631999,0.00201649862511,0.00943014174139,0.0660086925027,0.00562335486959,0.0764629737089,0.00537348686153,0.0251695722854,0.000828745634286,0.0339133818869,0.0555981227852,0.00683822206226,0.057484348321,0.0135283000099,0.00224691807858,0.0217307374111,0.00536318059928,0.0203627461889,0.0110542238771,0.0245092276948,0.121684350133,0.000909256228405,0.00895436164067,0.0358609219895,0.0105183635518,0.00128676470588,0.0981664164701,0.0183067717282,0.00781954887218,0.032377889893,0.0385099283409,0.0114326975149,0.0110623068163,0.00450423753926,0.0265456799865,0.148904956513,0.0402162519998,0.0079133694294,0.00709802311257,0.00757982691734,0.00310670330983,0.010371599597,0.00294099993998,0.0179190411844,0.0179865771812,0.0177365770014,0.00854037267081,0.00605107103957,0.00121580547112,0.00333758116391
Chachoengsao,0.00319233838787,0.0213743966904,0.0602994321115,0.043720019015,0.0018425901553,0.0184147317854,0.102355627332,0.0,0.018109540636,0.0148966842864,0.0106284658041,0.00739280433711,0.0180715868019,0.0734687138848,0.00512528473804,0.0208239022182,0.013714028777,0.0363610437758,0.00834105653383,0.00969645868465,0.0192125984252,0.0115321252059,0.0272490482869,0.00532184490623,0.0108643553283,0.00384707862467,0.0083662561004,0.0648872265669,0.00235602094241,0.00805785123967,0.0441358318273,0.00736342042755,0.0532700903037,0.00745931283906,0.031007751938,0.000922934933087,0.0461645262062,0.045926253036,0.0144369586141,0.0438935393861,0.00540749324063,0.00178207739308,0.0224892703863,0.00386349001932,0.0196113074205,0.0132743362832,0.0480707048933,0.066388308977,0.001015486164,0.0117792932424,0.0310924369748,0.0111181036291,0.00239170874302,0.0860436393578,0.034490481523,0.00748563026333,0.036301369863,0.0420659412051,0.0306271268838,0.00997340425532,0.00550964187328,0.0331259150805,0.0781432360743,0.0495826377295,0.0115713955103,0.00744797371303,0.00912494150679,0.00452165635412,0.0133484162896,0.00485319097306,0.0227907976779,0.0138007614213,0.0116535433071,0.0110044486069,0.00719960278054,0.00179763739086,0.00557950798884
Chiang Mai,0.000552355401247,0.00564844103028,0.0381076106961,0.0654209278877,0.000472106381305,0.00734077006117,0.046750784042,0.018109540636,0.0,0.00937668126969,0.00415784699123,0.00424972956266,0.120775095299,0.0179668406103,0.0241790661878,0.0197360937322,0.0231813329266,0.0228896617136,0.00310136157337,0.00772399588054,0.114403709607,0.0853620229307,0.0114578078835,0.0020233463035,0.0066067653277,0.0288590076276,0.0172771250864,0.048130770395,0.00133637292666,0.00649682458574,0.0256330909278,0.00343380389164,0.0303732433385,0.00488685061274,0.0333427521899,0.00120928123347,0.0126093146227,0.0310729710023,0.00883935434281,0.034069470647,0.0192038041822,0.00116922597241,0.0340150250417,0.0065940579388,0.0180305131761,0.0357897916037,0.00628425283157,0.0434325334995,0.00148055793657,0.0340049434499,0.0166833291677,0.00483056429774,0.00134238787113,0.0254800365742,0.0128781072177,0.00932858721002,0.0150620801954,0.0153713642086,0.00374045801527,0.0188332880065,0.00400423088546,0.0160569673276,0.0531018084876,0.0148934749215,0.0030969106428,0.00267220902613,0.016217047114,0.00359244821524,0.0264509698689,0.00415512465374,0.0090821826774,0.00757326308857,0.0134840372794,0.0191863153028,0.00371574547144,0.00195541650372,0.00171179582944
Chai Nat,0.00130208333333,0.0426608821403,0.0256880733945,0.00636112036863,0.00124533001245,0.00578592092575,0.0108957380207,0.0148966842864,0.00937668126969,0.0,0.00734214390602,0.00555555555556,0.00969162995595,0.0109763142692,0.00148075024679,0.00350175087544,0.044352044352,0.0101823348331,0.00521221146687,0.00280426247897,0.0245054620608,0.0213903743316,0.0236030828516,0.0031185031185,0.00271411338963,0.0068669527897,0.013646702047,0.0119856428663,0.00242424242424,0.00428036383093,0.00859997470596,0.00405186385737,0.0116017521013,0.00275671950379,0.0829015544041,0.000749063670412,0.0117017719826,0.0128325508607,0.0402742073693,0.0114302902692,0.00208463623098,0.00107296137339,0.0321453529001,0.00299401197605,0.0128017556693,0.0197516930023,0.00922409115572,0.0145263588624,0.0,0.0182795698925,0.0104287369641,0.00553097345133,0.00130039011704,0.0125747268604,0.0816053511706,0.0017671747294,0.0119442601194,0.0160714285714,0.00814332247557,0.0032637075718,0.00218181818182,0.0417816318486,0.00908826099621,0.0189205955335,0.00735835172921,0.00251098556183,0.0107941403238,0.00164338537387,0.0328671328671,0.00352422907489,0.00630733944954,0.00266272189349,0.00381343502493,0.0233281493002,0.0656565656566,0.00334821428571,0.00208116545265
