name,score,Number of UID,point
Amnat Charoen,3.938650306748466,163,POINT(104.72915159 15.8623982644)
Ang Thong,5.477434679334917,842,POINT(100.34145623 14.6380639474)
Phra Nakhon Si Ayutthaya,4.305821665438467,6785,POINT(100.514170724 14.4207801749)
Bangkok,2.00071019700865,70403,POINT(100.557322973 13.7175975701)
Bueng Kan,3.515151515151515,198,POINT(103.722237352 18.0575482114)
Buriram,3.5630810092961487,1506,POINT(102.967514344 15.1005920882)
Chonburi,3.142345948568656,16488,POINT(101.121827441 13.0460828469)
Chachoengsao,4.89546943231441,3664,POINT(101.41696414 13.5412867511)
Chiang Mai,2.3008938981733387,12865,POINT(98.7736976232 18.9084414401)
Chai Nat,6.037096774193548,620,POINT(99.9966639648 15.1889341114)
Chaiyaphum,3.7609254498714653,778,POINT(101.950256984 16.1453092103)
Chumphon,4.672839506172839,648,POINT(98.9038728634 10.2984795764)
Chiang Rai,2.5166698059898285,5309,POINT(99.8463306614 19.7614170952)
Chanthaburi,4.232271325796505,2919,POINT(102.128935757 12.7850531428)
Krabi,1.7032694475760992,4435,POINT(98.8832146297 7.9091448048)
Khon Kaen,2.931146946910672,5519,POINT(102.47117486 16.4033200124)
Kamphaeng Phet,4.607650273224044,915,POINT(99.4840870778 16.3504084467)
Kanchanaburi,3.9435979684576314,3741,POINT(99.0508269362 14.6142660015)
Kalasin,3.8464566929133857,762,POINT(103.623492533 16.5959516038)
Loei Province,3.726061615320566,1201,POINT(101.552343004 17.4924428641)
Lampang,3.5934931506849317,2920,POINT(99.5103521938 18.2741029435)
Lamphun,4.156416097190585,1317,POINT(98.9674006597 18.0768881064)
Lopburi Province,4.613887086307592,1541,POINT(100.897002401 15.11760038)
Mukdahan,4.245810055865922,358,POINT(104.435295454 16.5902346448)
Maha Sarakham,2.5886143931256713,2793,POINT(103.187269825 16.0737469859)
Mae Hong Son,3.5586690017513134,571,POINT(97.9474324868 18.7273332925)
Nan,3.9488559892328396,743,POINT(100.817084443 18.8280594829)
Nonthaburi,3.6378357286856993,15377,POINT(100.356517706 13.9498544093)
Nong Bua Lam Phu,3.9285714285714284,224,POINT(102.244010092 17.1948308266)
Nong Khai,3.2576923076923077,1300,POINT(102.77240708 17.9729280256)
Nakhon Ratchasima,3.439516664453592,7531,POINT(102.162650043 15.0280360626)
Nakhon Phanom,3.708722741433022,642,POINT(104.319004039 17.4294095463)
Nakhon Pathom,3.879781420765027,8052,POINT(100.068033595 13.8876112057)
Nakhon Si Thammarat,3.252297410192147,1197,POINT(99.7073199322 8.51358626995)
Nakhon Sawan,4.587796925943176,2147,POINT(99.9869845225 15.6823145632)
Narathiwat,0.8671248568155785,873,POINT(101.751727633 6.12680622765)
Nakhon Nayok,4.372159090909091,2464,POINT(101.218224714 14.262571957)
Phetchaburi,4.358724832214765,5960,POINT(99.6075392745 12.9986537807)
Phichit,4.970443349753695,609,POINT(100.409668319 16.2635958818)
Prachuap Khiri Khan,4.339589905362776,6340,POINT(99.5777392025 11.8001333794)
Phuket,1.6826561660998747,5587,POINT(98.2727379223 7.86370621154)
Phatthalung,3.2150776053215075,451,POINT(100.045088379 7.45917876629)
Phitsanulok,4.076310272536688,2385,POINT(100.518454781 17.0947359704)
Phang Nga,2.824127906976744,1376,POINT(98.1018967416 8.69774345234)
Phetchabun,3.3503184713375798,2198,POINT(101.242596454 16.3926965851)
Phrae,4.248355263157895,1216,POINT(100.012937431 18.2139119856)
Prachinburi,4.0371248025276465,1266,POINT(101.618777543 14.0445407759)
Pathum Thani,3.6685702490711436,14534,POINT(100.56915304 14.0830923585)
Pattani,2.4577464788732395,426,POINT(101.347821677 6.73989916225)
Phayao,3.419330289193303,1314,POINT(100.225624368 19.2180780435)
Ratchaburi,3.749869859448204,3842,POINT(99.5857449774 13.5495309307)
Roi Et,3.67587327376117,1231,POINT(103.828448191 15.9385220182)
Ranong,4.092592592592593,216,POINT(98.563678981 9.92248571424)
Rayong,3.938844847112118,4415,POINT(101.343222133 12.8409659694)
Sing Buri,6.319169960474309,1012,POINT(100.320977667 14.8716158255)
Songkhla,1.3996713904292462,4869,POINT(100.548759187 6.94884143693)
Samut Songkhram,4.930336168489267,2469,POINT(99.9367402385 13.3593198916)
Samut Sakhon,4.97076435364565,2839,POINT(100.177263278 13.5962888145)
Sa Kaeo,4.404423380726699,633,POINT(102.332311439 13.6777234283)
Surat Thani,2.2805482648002333,3429,POINT(99.099159387 9.13381321812)
