,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Amnat Charoen,0,0,1,16,0,2,2,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,7,3,0,0,2,0,1,7,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,7,0,0,1,0,0,0,0,0,4,0,3,0,1,4,0,0,0,0,0,90,3,0,0,0,14
Ang Thong,0,0,312,281,0,1,23,3,5,11,0,1,2,1,0,1,3,3,1,0,4,0,16,1,0,0,0,51,0,1,7,1,20,0,15,0,5,7,2,2,0,0,6,0,0,2,2,87,0,3,5,0,0,3,67,0,7,6,0,1,0,78,15,11,0,0,3,0,3,0,1,0,1,2,7,0,0
Phra Nakhon Si Ayutthaya,0,354,0,3914,1,19,347,78,104,47,12,12,25,43,30,45,26,64,4,4,17,4,175,5,28,2,5,464,1,10,350,3,180,6,126,0,78,68,17,66,20,6,52,7,37,10,23,1926,0,9,51,5,2,49,152,2,17,43,11,11,2,167,240,418,11,7,12,3,12,25,8,23,6,13,24,1,2
Bangkok,31,279,4142,0,25,292,10042,2489,3077,179,180,151,1175,1104,503,1055,185,1887,78,248,510,99,637,50,316,107,246,25165,18,154,2615,128,9065,255,726,48,1548,3260,125,2441,791,42,499,116,523,176,440,21453,42,103,2153,194,57,1710,319,528,1070,2798,238,667,102,1001,29866,1323,139,163,125,79,165,117,435,760,512,133,138,36,38
Bueng Kan,0,0,2,23,0,0,2,0,0,0,0,0,0,0,0,16,0,1,1,3,0,0,0,0,4,0,0,4,0,48,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,0,19,0,0,1,1,2,1,0,0,0,0,2,38,0,0,0,0
Buriram,4,0,16,269,0,0,55,10,18,0,10,0,5,17,1,105,3,6,1,1,4,0,0,3,106,0,2,22,0,2,407,0,12,0,2,2,5,3,0,8,1,0,6,0,5,2,10,43,0,1,2,18,0,14,0,1,3,4,27,2,4,3,28,20,109,38,2,0,1,0,5,61,3,1,0,0,9
Chonburi,3,14,383,9940,6,45,0,757,189,26,23,4,96,359,17,100,20,146,10,23,51,6,52,8,54,9,12,655,2,27,340,7,307,12,77,2,78,132,12,104,35,2,56,11,71,11,121,835,1,16,116,27,4,1170,34,12,64,78,46,37,6,62,1591,74,24,23,17,6,17,2,98,83,42,16,8,0,6
Chachoengsao,0,4,50,2113,1,9,1076,0,21,1,3,0,5,130,5,19,3,12,2,2,3,1,1,3,6,0,3,119,1,4,53,1,40,0,12,0,34,25,4,23,2,0,4,1,12,2,97,149,0,3,21,3,0,223,6,3,7,8,51,5,0,5,395,28,4,5,2,0,1,0,28,5,3,0,1,0,1
Chiang Mai,3,8,87,3114,0,20,240,19,0,9,16,11,1922,24,151,87,97,46,2,14,1581,1655,21,2,23,358,98,177,0,18,91,6,86,8,114,1,27,70,27,54,106,4,149,18,71,289,6,201,5,253,54,9,4,80,10,31,7,13,1,76,10,40,332,18,8,17,71,12,126,5,27,32,60,63,6,3,1
Chai Nat,0,3,42,164,0,1,32,1,8,0,0,0,4,1,0,0,8,2,0,0,7,0,19,0,0,1,2,32,0,0,6,0,8,0,134,0,3,4,10,4,0,0,14,0,1,5,1,49,0,3,6,0,0,8,43,1,3,2,1,1,0,36,30,8,1,0,2,0,4,0,0,0,2,0,42,0,0
