,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Amnat Charoen,0,0,0,34,0,4,3,0,4,0,0,0,1,0,0,6,0,1,1,3,0,0,0,11,4,0,0,3,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,4,0,3,1,0,5,0,0,0,0,0,95,1,0,0,0,7
Ang Thong,0,0,356,280,0,0,15,4,8,3,1,0,7,1,2,2,1,4,0,0,3,0,18,1,1,0,0,51,0,0,11,0,22,0,23,0,1,2,1,6,0,0,5,1,4,1,0,85,0,2,4,1,0,5,65,0,2,5,1,1,0,45,21,14,0,0,0,0,1,0,0,1,0,4,9,0,0
Phra Nakhon Si Ayutthaya,1,316,0,4222,2,16,392,50,95,42,8,16,21,40,22,35,21,67,7,7,23,3,140,2,21,2,4,476,1,8,285,3,191,3,122,2,71,70,17,73,19,2,38,10,36,15,22,1948,0,8,37,4,3,58,126,6,38,41,15,20,2,194,284,385,10,6,16,1,8,25,14,16,10,14,24,0,2
Bangkok,18,283,4000,0,23,278,10165,2142,3228,168,174,155,1179,1043,522,1079,167,1963,72,263,490,60,653,41,336,119,279,25615,14,130,2805,137,9301,241,713,51,1649,3317,132,2525,786,32,524,130,574,147,436,21992,53,99,2211,207,62,1821,306,579,1171,2426,252,659,110,1017,29819,1215,130,175,125,88,164,124,395,768,566,101,121,35,44
Bueng Kan,0,0,1,26,0,0,6,1,0,0,1,1,0,0,1,10,0,0,3,3,0,0,0,0,2,0,0,3,0,60,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,21,0,0,2,0,1,0,0,1,0,1,1,37,0,0,0,0
Buriram,2,1,19,299,0,0,46,9,20,1,14,0,2,19,1,97,2,6,4,1,7,1,3,4,111,0,1,32,0,5,416,0,16,1,4,2,5,8,0,3,3,0,4,1,7,2,13,33,0,2,2,17,0,8,1,2,1,6,17,3,3,2,15,17,118,31,3,1,0,0,5,60,6,0,0,0,8
Chonburi,2,23,353,10210,2,55,0,1082,258,32,17,10,99,349,28,132,19,140,14,34,55,11,51,8,59,11,14,619,2,18,391,17,307,14,78,2,84,138,11,96,46,2,60,7,81,12,129,875,1,15,123,26,2,1138,22,26,51,85,40,30,11,59,1638,70,26,23,17,10,13,4,75,92,55,16,11,1,4
Chachoengsao,0,4,78,2511,0,10,769,0,20,1,2,0,8,73,3,15,3,18,1,1,3,2,10,0,4,0,2,160,0,3,71,2,53,3,13,0,42,32,4,18,1,1,10,0,8,0,77,191,0,0,23,2,0,145,3,3,12,15,44,5,0,8,435,17,5,3,1,0,2,2,9,9,6,1,1,0,0
Chiang Mai,0,5,107,3181,0,19,202,21,0,9,10,7,2010,30,128,93,108,50,7,16,1556,1711,23,5,29,297,84,173,1,18,81,5,62,9,113,2,27,53,15,65,77,2,111,15,59,267,11,181,3,222,47,8,0,65,19,32,16,13,3,82,13,27,400,20,7,13,77,11,148,7,18,28,59,62,8,4,4
Chai Nat,0,11,47,180,0,0,28,1,9,0,1,0,3,4,0,0,9,6,0,1,5,0,19,0,0,0,1,24,0,0,6,0,11,0,138,0,0,7,10,1,0,0,22,0,1,1,0,34,0,1,4,0,0,9,52,0,1,5,0,0,0,47,25,7,1,0,2,0,8,0,0,0,2,3,39,1,0
