,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Amnat Charoen,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,11,0,0,0,0,4
Ang Thong,0,0,117,16,0,0,2,3,0,1,0,0,0,0,1,0,1,2,0,0,1,0,7,0,0,0,0,11,0,0,2,0,5,0,8,0,0,0,0,0,0,0,1,0,1,0,0,22,0,0,1,0,0,0,55,0,0,3,0,0,0,18,1,7,0,0,0,0,0,0,0,0,0,2,1,0,0
Phra Nakhon Si Ayutthaya,0,133,0,626,0,0,37,17,11,21,2,10,0,7,1,3,10,8,1,0,6,0,43,1,3,1,1,113,0,0,57,0,32,2,58,0,12,7,5,3,4,1,14,2,5,4,1,613,0,0,5,1,1,8,81,0,7,20,1,2,0,60,49,178,2,1,5,0,3,13,1,0,0,5,7,0,1
Bangkok,1,55,904,0,0,30,1152,642,289,30,9,23,101,59,49,133,26,179,4,28,57,5,68,1,18,15,24,6070,0,11,296,11,1846,29,82,7,202,355,14,191,80,5,56,20,71,9,50,5086,5,1,378,22,6,172,82,105,252,720,20,63,7,129,8561,303,9,6,10,5,15,27,22,93,101,9,10,5,2
Bueng Kan,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,13,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0
Buriram,1,0,7,30,0,0,4,2,4,0,4,0,0,5,0,8,0,0,1,0,2,0,0,0,13,0,0,1,0,2,79,0,2,0,0,0,1,0,0,2,0,0,1,0,0,1,2,1,0,0,0,3,0,0,0,0,0,1,8,1,1,1,0,9,48,9,1,0,0,0,0,4,0,0,0,0,2
Chonburi,0,3,44,1104,0,7,0,728,14,6,2,2,4,43,2,11,2,13,0,2,10,2,1,0,3,3,1,68,0,2,37,0,22,2,15,0,7,14,0,4,1,0,4,1,14,0,34,141,0,2,8,1,0,275,8,1,6,16,5,4,1,8,436,10,2,0,0,3,0,0,4,2,7,0,1,0,0
Chachoengsao,0,2,13,331,0,1,208,0,0,0,0,0,0,20,0,4,0,1,0,0,1,0,1,0,0,0,1,25,0,0,9,0,7,0,0,0,12,4,1,0,0,0,1,0,0,0,35,47,0,0,1,0,0,36,2,0,4,10,19,1,0,2,140,6,1,0,0,0,2,0,1,0,0,1,1,0,0
Chiang Mai,0,1,19,473,0,3,18,3,0,2,2,1,202,0,10,7,29,1,0,5,308,603,3,1,5,45,7,18,0,2,7,0,6,0,24,1,1,2,2,5,9,1,9,4,11,33,1,26,1,13,8,1,0,10,6,3,1,0,1,5,1,0,168,3,0,5,14,2,38,0,1,7,15,13,0,0,1
Chai Nat,0,8,24,13,0,0,2,1,1,0,1,0,1,0,0,0,5,3,0,0,2,0,5,0,0,0,0,4,0,0,2,0,1,0,40,0,0,1,4,1,0,0,7,0,0,0,0,6,0,0,0,0,0,3,40,0,0,1,0,0,0,21,3,2,0,0,0,0,3,0,0,0,0,2,19,0,0
Chaiyaphum,0,0,4,15,0,1,1,0,3,0,0,0,2,0,0,26,0,0,1,3,1,0,7,0,1,0,0,0,0,1,54,1,0,0,1,0,0,1,1,0,0,0,2,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,1,5,0,0,0,0
Chumphon,0,0,7,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,11,0,44,1,0,0,5,0,0,0,0,1,0,1,0,2,0,0,1,2,3,0,21,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0
Chiang Rai,0,1,5,227,0,0,7,0,178,2,0,1,0,0,2,3,1,0,0,1,35,14,0,0,1,3,4,4,0,0,2,0,0,0,7,0,0,4,4,2,3,0,17,1,1,24,2,7,0,160,4,0,0,2,2,2,0,0,0,0,1,2,79,0,4,0,0,0,2,0,0,1,2,13,0,0,0
Chanthaburi,0,0,5,52,0,3,94,83,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,9,0,0,1,0,4,0,0,0,0,1,0,0,0,0,1,0,1,0,5,4,0,0,1,0,1,192,0,0,0,4,17,0,1,1,18,2,2,2,0,0,1,0,43,0,0,0,0,0,0
Krabi,0,0,3,72,0,0,3,0,16,0,0,2,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,9,2,2,0,2,0,2,105,14,1,65,2,2,0,1,1,0,1,0,0,1,0,51,1,1,1,23,0,0,14,0,0,0,0,10,0,65,0,0,1,0,0,0,0
Khon Kaen,1,0,19,128,0,10,5,6,3,0,46,0,0,1,0,0,0,1,65,24,1,2,2,2,176,0,0,5,10,25,170,2,1,0,0,0,1,0,0,1,1,0,5,0,36,0,5,12,0,1,1,42,0,5,1,0,0,1,0,1,3,2,34,13,2,0,0,0,0,0,0,15,163,2,0,0,10
Kamphaeng Phet,0,2,15,10,0,1,0,0,2,6,0,0,1,0,0,0,0,1,0,0,28,3,2,0,0,1,1,1,0,1,0,0,1,0,77,0,0,0,5,0,0,0,10,0,2,2,0,4,0,3,0,0,0,0,11,0,0,0,0,0,0,3,4,3,0,0,9,0,32,0,1,1,0,0,1,0,0
Kanchanaburi,0,2,11,162,0,1,18,3,5,0,0,0,1,0,1,3,1,0,0,1,1,1,0,0,0,0,1,30,0,0,3,0,188,0,6,0,2,21,0,5,1,0,0,0,0,1,0,22,0,0,130,0,1,1,0,0,7,9,0,2,0,59,5,0,0,0,0,0,2,0,0,1,1,1,0,0,0
Kalasin,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,46,0,0,0,1,0,0,1,5,176,0,0,0,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,21,0,1,0,0,1,0,0,0,2,1,0,3,0,1,0,0,0,0,0,2,9,0,0,0,2
Loei Province,0,0,0,25,1,0,6,1,0,0,2,0,0,0,0,24,0,1,1,0,1,0,1,0,2,0,1,1,10,9,11,0,0,0,0,0,0,0,0,0,2,0,27,0,46,1,1,0,0,1,0,2,0,0,0,2,0,0,0,0,3,1,1,4,0,1,0,0,1,0,0,0,21,5,0,0,0
Lampang,0,0,6,104,0,0,10,1,169,4,0,0,15,0,0,5,46,0,0,0,0,120,1,0,1,1,0,4,0,0,3,0,0,0,38,0,0,3,1,1,0,1,6,0,5,47,1,4,0,52,0,0,0,3,6,0,0,0,0,0,0,6,17,0,0,0,18,0,65,0,0,0,1,12,1,0,0
Lamphun,0,0,2,9,0,0,0,0,273,0,0,0,8,2,0,1,3,0,0,1,77,0,1,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,3,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,3,0,0,0
Lopburi Province,0,5,84,52,0,0,4,0,1,5,5,0,0,0,0,1,0,2,0,0,2,0,0,0,1,0,0,4,0,0,8,0,3,0,14,0,0,2,1,0,1,0,3,0,5,0,0,29,0,0,0,0,0,1,38,0,0,1,0,1,0,3,2,97,1,0,1,0,1,0,0,0,0,1,3,0,0
Mukdahan,1,0,1,4,0,0,0,0,0,0,0,0,1,0,0,3,0,0,7,1,0,0,0,0,1,0,0,0,0,0,2,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,9,0,0,0,0,6
Maha Sarakham,1,0,11,26,0,19,3,1,6,0,3,0,1,2,0,327,0,1,142,2,0,0,1,3,0,1,1,1,0,1,60,4,0,1,0,0,0,4,0,5,0,0,1,0,8,0,4,6,0,0,0,136,0,1,1,0,0,0,1,0,0,0,4,6,5,2,1,0,0,0,0,4,13,2,0,0,11
