,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Amnat Charoen,0,0,0,4,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,20,0,0,0,0,6
Ang Thong,0,0,151,39,0,0,3,3,0,3,0,0,0,0,1,0,1,2,0,0,1,0,12,0,0,0,0,20,0,0,2,0,11,0,9,0,0,0,0,0,0,0,1,0,1,1,0,33,0,0,1,0,0,0,59,0,0,3,0,0,0,23,6,9,0,0,0,0,1,0,0,0,0,2,3,0,0
Phra Nakhon Si Ayutthaya,0,178,0,1042,0,1,68,25,17,26,2,13,2,12,4,4,11,15,2,0,10,2,67,2,4,1,2,195,0,0,76,0,54,2,62,0,23,12,8,7,6,1,17,6,7,6,6,864,0,0,10,1,1,13,88,2,20,27,1,2,0,95,87,220,3,1,8,0,3,24,2,0,1,6,9,0,1
Bangkok,2,80,1360,0,1,49,2124,906,481,41,13,39,161,144,72,208,41,322,9,37,84,12,124,4,34,26,38,11156,0,17,497,16,2936,44,135,9,361,681,26,412,135,8,98,33,130,18,91,8133,9,7,578,30,12,320,118,143,402,1157,37,92,15,229,13743,425,18,16,17,10,29,33,61,125,130,16,14,5,5
Bueng Kan,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,17,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,18,0,0,0,0
Buriram,1,0,7,45,0,0,7,2,6,0,7,0,0,8,0,13,0,1,1,0,2,0,0,1,23,0,0,5,0,2,111,0,2,0,0,0,1,0,0,2,0,0,1,1,2,1,5,3,0,0,0,7,0,0,0,0,0,2,10,1,1,1,3,11,59,9,1,0,0,0,0,7,0,0,0,0,5
Chonburi,0,6,82,1989,0,13,0,791,23,8,2,2,13,91,4,16,3,24,1,6,11,2,8,0,6,4,1,153,0,2,61,0,45,2,21,0,13,22,2,8,4,0,6,2,22,2,42,230,0,3,16,2,0,447,11,2,14,25,6,6,1,16,651,12,5,0,1,3,0,1,8,8,9,1,1,0,0
Chachoengsao,0,2,26,582,0,2,295,0,0,0,0,0,0,34,0,4,0,4,0,0,1,0,2,0,0,0,1,59,0,0,18,0,11,0,2,0,18,6,1,0,0,0,2,0,0,0,47,66,0,0,4,0,0,64,2,0,5,11,22,1,0,3,203,8,1,0,0,0,2,0,2,1,1,1,1,0,0
Chiang Mai,0,1,31,687,0,6,33,8,0,2,4,1,336,3,16,16,43,3,0,5,440,908,6,1,6,75,11,31,0,3,7,1,9,0,37,1,2,6,3,8,11,1,16,6,18,49,2,39,2,25,15,3,0,13,7,4,1,2,1,12,1,4,215,4,1,5,20,2,59,0,4,9,19,15,0,1,1
Chai Nat,0,9,27,24,0,0,5,1,1,0,1,0,1,1,0,0,8,3,0,0,2,0,8,0,0,0,0,7,0,0,2,0,3,0,57,0,0,2,5,1,0,0,11,0,1,0,0,12,0,0,0,0,0,5,44,0,0,3,0,0,0,27,8,3,0,0,0,0,3,0,0,0,0,3,26,1,0
Chaiyaphum,0,0,4,23,0,3,4,0,4,0,0,0,2,1,0,44,1,1,1,4,2,0,8,1,2,0,0,0,1,1,65,1,1,0,1,0,0,1,1,0,0,0,2,1,8,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,12,0,1,0,0,0,0,0,1,5,0,0,0,0
Chumphon,0,0,7,24,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,7,1,0,0,12,0,59,1,1,0,6,0,0,1,0,1,0,1,0,6,0,0,2,3,4,0,31,0,0,1,0,0,0,0,0,0,14,1,0,0,0,0,0,0
Chiang Rai,0,1,6,326,0,0,11,2,348,2,0,1,0,1,2,5,2,0,0,1,53,16,0,0,1,5,8,11,0,0,5,0,0,1,13,0,1,7,7,4,4,0,22,1,5,36,2,8,0,240,5,0,0,3,2,2,0,0,0,0,1,5,93,1,4,0,0,0,2,0,0,1,3,17,0,0,0
Chanthaburi,0,0,10,118,0,5,122,98,4,0,0,0,0,0,0,2,1,1,1,0,2,1,3,0,2,0,0,18,0,0,7,0,5,0,0,0,1,2,0,0,0,0,1,0,1,0,9,8,0,0,3,1,1,248,0,0,0,7,20,0,1,1,28,4,2,3,0,0,1,0,74,0,1,1,0,0,0
Krabi,0,0,6,119,0,0,4,0,21,0,1,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,3,0,0,0,0,0,15,2,3,0,4,0,3,239,18,1,93,5,3,0,2,1,0,1,0,1,2,0,80,4,1,1,35,0,0,17,0,0,0,0,15,0,76,0,0,1,0,0,0,0
Khon Kaen,1,0,21,193,2,18,13,7,14,0,66,1,1,4,0,0,0,2,103,40,2,2,2,7,293,0,0,8,19,41,209,2,3,0,1,0,2,0,1,2,3,0,10,0,48,2,6,22,0,1,3,69,0,13,1,0,0,1,1,1,11,2,40,20,2,3,1,0,1,0,1,23,224,3,0,0,11
Kamphaeng Phet,0,2,16,28,0,1,1,0,5,6,0,0,2,0,0,0,0,3,0,0,30,3,3,1,0,2,2,1,0,1,1,0,1,0,88,0,0,0,5,1,0,0,24,0,2,2,0,5,0,3,1,0,0,1,12,0,0,0,0,0,0,5,6,4,0,0,10,0,38,0,1,1,0,0,2,0,0
