,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Amnat Charoen,0,0,0,15,0,2,1,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,6,3,0,0,2,0,1,5,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,7,0,0,1,0,0,0,0,0,4,0,2,0,1,4,0,0,0,0,0,84,3,0,0,0,14
Ang Thong,0,0,304,271,0,1,19,3,5,11,0,1,2,1,0,1,3,3,1,0,4,0,15,1,0,0,0,50,0,1,7,1,18,0,15,0,5,6,2,2,0,0,6,0,0,2,2,83,0,3,5,0,0,3,66,0,7,6,0,1,0,75,14,11,0,0,3,0,3,0,1,0,1,2,7,0,0
Phra Nakhon Si Ayutthaya,0,325,0,3656,0,18,299,69,95,47,11,10,22,35,28,40,23,57,4,3,14,4,160,4,26,2,5,439,1,9,337,3,172,5,116,0,67,53,17,58,18,5,49,7,34,10,18,1784,0,6,48,5,2,38,142,1,17,39,8,9,2,148,220,398,11,5,12,2,12,24,6,19,3,11,23,1,2
Bangkok,22,228,3568,0,17,216,8161,2044,2608,146,131,116,1004,800,421,867,154,1484,54,207,429,76,524,41,261,92,184,22574,15,123,2118,97,8144,190,608,37,1303,2660,101,1773,646,34,409,94,427,121,362,19446,32,73,1884,151,39,1326,260,416,861,2442,193,526,77,827,26788,1086,102,128,93,60,117,88,315,618,416,99,109,26,23
Bueng Kan,0,0,1,16,0,0,2,0,0,0,0,0,0,0,0,16,0,1,0,3,0,0,0,0,3,0,0,4,0,46,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,0,17,0,0,1,1,2,1,0,0,0,0,2,33,0,0,0,0
Buriram,2,0,13,244,0,0,48,8,16,0,9,0,4,11,1,85,2,4,1,1,4,0,0,2,98,0,2,20,0,2,380,0,11,0,1,2,5,3,0,4,0,0,5,0,4,2,10,41,0,1,2,18,0,10,0,0,2,3,25,1,4,3,21,20,97,38,2,0,1,0,2,57,3,1,0,0,8
Chonburi,3,11,344,9166,4,33,0,696,162,23,19,4,75,299,12,84,17,127,7,19,40,4,45,7,48,8,10,602,2,21,295,5,276,11,69,2,66,109,8,78,25,1,46,6,56,11,108,758,1,15,97,23,3,1076,27,10,57,64,41,29,5,52,1458,65,17,18,13,4,9,1,84,65,36,13,8,0,4
Chachoengsao,0,3,48,2028,1,9,1051,0,16,1,2,0,4,122,5,17,3,12,2,2,2,1,1,3,6,0,3,112,1,4,50,1,39,0,11,0,32,21,3,15,2,0,4,1,9,2,94,143,0,3,16,3,0,221,5,3,6,8,50,5,0,3,382,26,3,5,2,0,1,0,28,5,3,0,1,0,1
Chiang Mai,2,6,76,2557,0,18,171,14,0,6,14,8,1532,16,123,70,71,34,1,9,1259,1350,16,1,22,313,57,148,0,13,73,6,64,4,79,1,20,47,17,31,80,2,114,17,54,211,3,173,3,201,48,5,3,56,7,27,6,10,1,60,3,27,265,10,7,12,57,9,94,5,21,24,52,39,4,3,0
Chai Nat,0,3,41,153,0,1,27,1,7,0,0,0,3,1,0,0,8,2,0,0,7,0,18,0,0,1,2,32,0,0,6,0,7,0,131,0,3,3,10,4,0,0,13,0,1,5,1,48,0,3,5,0,0,8,43,1,3,2,1,0,0,35,28,8,1,0,2,0,3,0,0,0,2,0,40,0,0
Chaiyaphum,0,1,8,156,1,10,12,2,10,1,0,0,0,0,1,190,0,0,2,5,1,0,12,0,18,1,1,15,2,8,216,1,6,0,7,0,5,4,1,2,0,0,5,0,20,0,1,30,0,4,1,5,0,1,0,0,1,0,3,0,1,0,7,8,2,6,1,0,1,0,1,5,14,1,1,0,2
