,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Amnat Charoen,0,2,8,77,0,8,23,11,7,1,3,1,3,3,0,31,1,8,9,12,3,2,4,20,18,0,0,21,1,7,30,13,8,0,2,0,2,7,2,9,0,0,1,1,4,3,2,16,0,1,6,20,1,4,2,1,2,1,2,0,9,3,23,7,7,16,1,0,0,0,1,88,7,2,0,0,19
Ang Thong,2,0,395,652,0,17,182,92,74,58,6,7,43,55,11,30,37,68,5,10,43,21,81,3,18,4,7,260,0,9,95,7,137,12,92,2,54,82,28,91,7,1,54,2,32,30,18,357,0,29,44,15,3,69,150,12,45,71,6,16,5,143,227,89,6,4,13,5,25,4,12,11,12,29,24,2,4
Phra Nakhon Si Ayutthaya,8,395,0,5007,0,141,1279,579,694,183,66,50,295,332,120,297,166,423,59,85,269,133,445,23,130,36,53,1834,12,91,948,39,828,42,424,10,331,594,109,668,105,10,304,42,176,147,133,2468,7,100,343,91,14,424,423,84,336,429,72,139,24,414,1703,791,83,53,91,28,123,27,89,122,127,108,83,11,26
Bangkok,77,652,5007,0,0,704,8439,3087,5010,459,369,249,1988,2077,1121,2050,488,2820,268,560,1207,549,1385,156,735,310,425,12458,89,638,4315,246,5981,432,1300,98,1860,4264,350,4444,1007,126,1185,332,756,550,758,11775,103,450,2666,495,109,2617,834,859,2019,2474,421,1170,250,1535,14287,2195,380,380,365,201,455,220,678,1079,1011,387,237,81,160
Bueng Kan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buriram,8,17,141,704,0,0,209,91,102,12,44,2,44,90,13,197,19,52,33,31,39,26,40,22,146,4,19,230,4,28,479,16,107,8,34,2,49,83,11,92,9,2,50,3,31,20,60,244,3,13,41,73,4,85,20,19,36,53,50,21,16,35,216,134,198,92,17,4,8,5,31,165,43,12,6,2,38
Chonburi,23,182,1279,8439,0,209,0,1510,982,154,86,45,470,798,107,521,145,588,83,143,316,154,405,40,203,49,88,2461,28,183,1155,64,1217,63,369,10,426,784,95,848,149,27,315,55,215,153,331,2579,12,130,526,143,15,1197,248,108,462,566,144,163,60,366,3352,598,105,95,95,41,137,34,193,268,259,116,61,17,40
Chachoengsao,11,92,579,3087,0,91,1510,0,290,61,45,19,157,446,37,187,65,264,37,47,126,62,161,21,67,16,36,1108,10,46,476,27,549,33,176,4,251,379,62,374,30,8,133,17,101,63,224,1128,4,57,222,53,8,563,152,54,208,264,129,60,25,183,1501,317,52,33,38,19,59,16,92,87,74,46,25,7,22
Chiang Mai,7,74,694,5010,0,102,982,290,0,127,55,38,1906,269,375,347,306,362,40,106,1572,1113,237,28,100,367,222,1227,19,139,499,41,562,63,473,17,174,482,115,554,219,15,491,67,179,475,86,1117,19,455,266,66,17,362,178,150,215,235,49,307,53,230,1479,237,41,36,211,46,344,50,111,115,204,250,39,25,22
Chai Nat,1,58,183,459,0,12,154,61,127,0,10,4,56,39,6,22,67,45,7,6,86,45,55,3,8,8,19,185,3,10,70,4,95,4,211,1,32,78,51,70,8,1,96,3,31,36,17,220,0,34,45,11,1,53,122,9,33,55,11,12,4,104,164,64,10,4,16,2,49,4,10,9,14,31,56,3,2
Chaiyaphum,3,6,66,369,0,44,86,45,55,10,0,5,19,35,10,226,8,29,24,45,23,15,44,9,59,7,7,107,11,33,252,12,42,10,24,2,26,34,11,39,5,4,32,6,46,13,20,145,2,10,25,28,1,55,14,9,15,22,10,10,14,21,115,71,27,23,13,4,9,1,12,35,45,11,5,3,12
Chumphon,1,7,50,249,0,2,45,19,38,4,5,0,20,13,29,19,3,24,6,11,12,5,12,0,3,3,1,83,2,2,35,3,48,33,15,2,19,71,6,98,26,13,9,19,12,7,5,69,5,6,27,4,21,20,7,38,34,37,5,100,1,13,71,22,2,0,3,7,2,13,4,7,12,6,1,3,1
Chiang Rai,3,43,295,1988,0,44,470,157,1906,56,19,20,0,117,109,143,78,124,17,53,455,204,86,6,39,90,92,531,7,82,190,13,224,35,208,7,60,198,66,238,72,8,259,27,70,238,41,486,5,629,101,26,5,155,87,52,85,105,21,91,20,113,618,78,19,14,90,18,82,31,41,63,83,151,15,6,7
Chanthaburi,3,55,332,2077,0,90,798,446,269,39,35,13,117,0,34,150,42,175,24,51,84,39,115,12,60,21,28,658,8,33,351,23,343,24,93,2,119,230,33,224,31,5,91,17,62,36,119,632,3,23,174,40,6,642,81,37,145,162,114,48,20,122,760,175,45,37,22,10,37,12,223,84,71,30,22,4,14
Krabi,0,11,120,1121,0,13,107,37,375,6,10,29,109,34,0,44,11,67,9,13,29,21,77,5,13,49,13,117,2,33,69,7,80,66,28,27,16,78,8,79,666,59,27,205,23,15,7,124,17,8,72,9,12,28,14,321,39,37,14,316,7,23,276,34,6,2,22,61,11,129,22,15,19,13,6,11,3
Khon Kaen,31,30,297,2050,0,197,521,187,347,22,226,19,143,150,44,0,42,146,358,316,94,60,98,97,1114,18,34,567,87,415,1027,118,262,44,87,7,116,205,28,241,32,9,146,23,176,61,108,628,6,37,93,468,5,241,53,53,85,115,39,55,191,86,609,265,95,130,41,10,39,13,49,339,878,63,13,13,92
Kamphaeng Phet,1,37,166,488,0,19,145,65,306,67,8,3,78,42,11,42,0,47,5,18,213,88,46,3,10,8,19,144,2,9,80,7,80,9,236,2,29,71,35,65,11,4,161,7,38,35,17,178,3,44,38,10,3,57,77,13,25,38,6,7,7,54,149,55,6,3,57,2,156,4,8,12,15,35,29,5,3
Kanchanaburi,8,68,423,2820,0,52,588,264,362,45,29,24,124,175,67,146,47,0,21,51,98,54,133,21,43,33,36,942,14,54,355,12,974,35,111,4,157,421,25,422,57,9,105,16,73,43,68,846,6,30,563,40,9,193,71,68,258,262,35,71,15,272,883,172,45,21,37,16,46,16,62,52,66,23,27,8,15
Kalasin,9,5,59,268,0,33,83,37,40,7,24,6,17,24,9,358,5,21,0,38,11,9,23,46,308,3,6,69,8,37,146,50,27,4,12,1,22,36,3,48,6,1,18,5,23,13,15,86,0,6,13,142,1,43,8,7,21,22,6,10,64,14,76,45,16,20,4,4,5,2,8,45,88,8,4,1,26
Loei Province,12,10,85,560,0,31,143,47,106,6,45,11,53,51,13,316,18,51,38,0,38,27,38,18,111,5,22,176,46,108,163,19,83,16,39,1,32,64,11,85,19,5,111,14,146,24,26,156,1,14,27,49,5,60,21,25,30,32,13,21,47,33,149,56,20,16,15,6,13,5,22,60,201,26,4,4,18
Lampang,3,43,269,1207,0,39,316,126,1572,86,23,12,455,84,29,94,213,98,11,38,0,470,75,5,35,40,85,354,8,26,159,13,159,20,269,2,43,143,54,160,34,4,242,12,86,280,28,400,1,235,70,23,7,112,121,25,50,81,20,44,13,104,358,83,13,10,106,9,233,9,23,31,55,149,15,4,9
Lamphun,2,21,133,549,0,26,154,62,1113,45,15,5,204,39,21,60,88,54,9,27,470,0,31,5,23,39,38,162,4,19,87,7,82,12,128,1,24,74,28,81,13,2,107,4,46,112,13,179,1,80,42,16,0,48,57,14,25,42,10,26,5,50,174,48,8,7,52,7,105,6,13,19,32,70,14,3,6
Lopburi Province,4,81,445,1385,0,40,405,161,237,55,44,12,86,115,77,98,46,133,23,38,75,31,0,8,33,22,19,470,6,25,253,8,198,18,111,8,106,144,41,154,73,3,86,30,127,33,48,527,3,16,80,24,6,130,141,41,70,91,33,82,11,100,450,364,21,16,33,12,33,12,45,38,46,32,27,5,10
Mukdahan,20,3,23,156,0,22,40,21,28,3,9,0,6,12,5,97,3,21,46,18,5,5,8,0,71,3,2,48,4,23,68,94,19,2,7,0,9,21,1,24,1,0,11,1,6,5,7,50,0,1,14,49,1,14,3,3,9,10,6,3,43,12,56,24,11,20,2,1,4,1,6,84,30,5,2,1,33
Maha Sarakham,18,18,130,735,0,146,203,67,100,8,59,3,39,60,13,1114,10,43,308,111,35,23,33,71,0,8,14,169,22,122,426,74,61,8,19,1,36,82,8,99,9,3,53,3,78,23,46,222,0,16,29,471,1,109,20,10,42,45,21,11,77,29,198,114,56,62,18,3,10,1,16,162,252,25,8,2,81
Mae Hong Son,0,4,36,310,0,4,49,16,367,8,7,3,90,21,49,18,8,33,3,5,40,39,22,3,8,0,13,53,3,17,25,4,35,4,14,2,9,36,5,35,19,1,30,9,14,22,5,62,1,14,21,5,1,24,9,11,14,20,4,40,5,20,66,16,2,5,21,6,24,3,11,6,12,12,4,4,3
Nan,0,7,53,425,0,19,88,36,222,19,7,1,92,28,13,34,19,36,6,22,85,38,19,2,14,13,0,117,2,10,58,2,56,7,47,1,18,41,13,42,9,2,84,6,29,152,9,119,1,58,22,7,5,31,16,15,29,27,5,21,6,28,119,28,7,3,21,5,25,9,9,13,19,55,8,3,3
Nonthaburi,21,260,1834,12458,0,230,2461,1108,1227,185,107,83,531,658,117,567,144,942,69,176,354,162,470,48,169,53,117,0,24,156,1435,68,2265,123,415,17,633,1521,136,1591,160,24,393,74,266,171,235,4550,34,137,812,133,29,808,338,227,726,965,135,234,70,696,4073,876,111,91,103,53,137,71,196,274,283,124,77,25,48
Nong Bua Lam Phu,1,0,12,89,0,4,28,10,19,3,11,2,7,8,2,87,2,14,8,46,8,4,6,4,22,3,2,24,0,47,26,10,8,1,6,0,3,12,3,12,5,0,12,3,13,7,6,25,0,3,5,13,1,10,6,1,7,7,4,5,11,3,20,9,2,5,4,1,1,0,1,5,128,6,1,1,5
Nong Khai,7,9,91,638,0,28,183,46,139,10,33,2,82,33,33,415,9,54,37,108,26,19,25,23,122,17,10,156,47,0,210,48,101,12,22,4,31,60,5,61,33,1,29,9,35,14,26,200,1,10,35,42,2,61,12,15,26,38,10,25,80,32,199,60,13,18,15,7,11,2,13,39,763,10,7,6,16
Nakhon Ratchasima,30,95,948,4315,0,479,1155,476,499,70,252,35,190,351,69,1027,80,355,146,163,159,87,253,68,426,25,58,1435,26,210,0,80,623,46,170,8,353,524,43,600,71,12,174,31,159,72,312,1618,3,42,297,252,13,399,134,99,242,298,81,106,94,240,1408,973,207,148,59,25,65,16,105,325,359,54,44,13,72
Nakhon Phanom,13,7,39,246,0,16,64,27,41,4,12,3,13,23,7,118,7,12,50,19,13,7,8,94,74,4,2,68,10,48,80,0,33,7,8,0,19,29,4,29,2,0,12,1,12,6,11,75,1,4,16,38,3,21,6,4,16,19,8,7,143,14,76,30,10,20,4,1,5,0,4,59,87,5,4,2,21
Nakhon Pathom,8,137,828,5981,0,107,1217,549,562,95,42,48,224,343,80,262,80,974,27,83,159,82,198,19,61,35,56,2265,8,101,623,33,0,57,217,9,316,1101,44,1033,72,18,193,34,138,94,107,1835,14,72,1186,50,18,391,158,107,619,769,50,97,40,467,1854,393,52,52,56,28,92,29,87,104,125,73,48,19,29
Nakhon Si Thammarat,0,12,42,432,0,8,63,33,63,4,10,33,35,24,66,44,9,35,4,16,20,12,18,2,8,4,7,123,1,12,46,7,57,0,21,13,16,62,5,93,46,62,25,27,20,9,10,111,22,8,28,6,7,19,7,161,38,31,7,144,5,24,125,27,4,3,6,17,9,46,10,12,19,11,3,11,5
Nakhon Sawan,2,92,424,1300,0,34,369,176,473,211,24,15,208,93,28,87,236,111,12,39,269,128,111,7,19,14,47,415,6,22,170,8,217,21,0,2,74,194,193,188,24,2,333,12,115,142,35,552,3,114,78,23,9,145,252,28,71,104,30,40,17,159,417,118,18,8,78,6,148,9,18,29,37,109,114,5,9
