,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Amnat Charoen,0.0,0.0020325203252,0.00120427517688,0.001113312031,0.0,0.00493827160494,0.00199237699238,0.00288411116938,0.000552050473186,0.00126582278481,0.00327153762268,0.00199600798403,0.000565824217276,0.000995024875622,0.0,0.00560173473076,0.000948766603416,0.00209588682211,0.0100446428571,0.00911161731207,0.000998336106489,0.00135226504395,0.00159680638723,0.0397614314115,0.00631578947368,0.0,0.0,0.0014357011007,0.00255754475703,0.00374732334047,0.00397667020148,0.0186246418338,0.00106072659772,0.0,0.000883002207506,0.0,0.000834724540902,0.0012790060296,0.00263157894737,0.00159066808059,0.0,0.0,0.000399361022364,0.0010593220339,0.00273410799727,0.00221565731167,0.00142348754448,0.00111034004164,0.0,0.000692041522491,0.0015455950541,0.0148588410104,0.00320512820513,0.00105318588731,0.00169779286927,0.00025075225677,0.000779119594858,0.000333333333333,0.00251256281407,0.0,0.00977198697068,0.00137174211248,0.00135230479774,0.00234348844995,0.00740740740741,0.0141342756184,0.00116279069767,0.0,0.0,0.0,0.00087489063867,0.0308663626798,0.00236726411904,0.00231481481481,0.0,0.0,0.0385395537525
Ang Thong,0.0020325203252,0.0,0.057064432245,0.00941461865019,0.0,0.0074659639877,0.0151024811219,0.0209138440555,0.00557270878831,0.0414581844174,0.00379746835443,0.00602928509905,0.00725371120108,0.0151556902728,0.00260231842915,0.00483792936623,0.0219714964371,0.0153741804205,0.00319284802043,0.00503778337531,0.0118424676398,0.0098777046096,0.0261797026503,0.00252951096121,0.00511945392491,0.00289226319595,0.00453661697991,0.0172711571675,0.0,0.00355450236967,0.011663597299,0.00510948905109,0.0169575442505,0.00730371272063,0.0323829637452,0.000940291490362,0.0179401993355,0.0135224274406,0.02,0.0145786606857,0.00182958703607,0.00087260034904,0.0173243503369,0.00124300807955,0.015230842456,0.0150526843954,0.00875912408759,0.0242280285036,0.0,0.0139222275564,0.00975609756098,0.00743678730788,0.0030737704918,0.0156853830416,0.0884433962264,0.00258453586044,0.0141065830721,0.019744160178,0.00411522633745,0.00478755236385,0.00314267756128,0.0527091780317,0.0129937034917,0.0249229907589,0.00372208436725,0.00220994475138,0.00858652575958,0.00350631136045,0.0149970005999,0.003108003108,0.00667408231368,0.00306065664997,0.00331674958541,0.0192947438456,0.0208152645273,0.00182481751825,0.00340715502555
Phra Nakhon Si Ayutthaya,0.00120427517688,0.057064432245,0.0,0.0709568618559,0.0,0.0180353031466,0.0769601059029,0.0604573457241,0.0378738266754,0.0263726761781,0.00918580375783,0.00737136960047,0.0260118155365,0.0368193412443,0.0122661760196,0.02560565566,0.0229916897507,0.0434603924792,0.00822070502996,0.0112211221122,0.029658213892,0.0173199635369,0.053007742704,0.003367003367,0.0143345462565,0.00513112884835,0.00740016755096,0.0957952468007,0.00178810907465,0.011213801602,0.0731650845103,0.00556904183921,0.0634336934038,0.00577081615829,0.051871788598,0.00128468653649,0.0394141462253,0.0529553356512,0.0156071019473,0.0589585172109,0.0111785372086,0.00147015583652,0.0356305672761,0.00580591650539,0.0230910522173,0.0194934358838,0.0174884944116,0.13494450216,0.001027296742,0.013025921584,0.0347306601863,0.0119642387589,0.00211161387632,0.0436708208878,0.0596783295711,0.00820633059789,0.0392340028024,0.0481860047175,0.0102026356809,0.0156461053579,0.00331629128092,0.0510669791538,0.0786278221525,0.0926880712444,0.0115277777778,0.00713708591435,0.0128150964653,0.00396151669496,0.0170030411944,0.0038966661856,0.0120498239913,0.0133362483603,0.013852530541,0.0152348709268,0.0122799230655,0.00162914691943,0.0038139944257
Bangkok,0.001113312031,0.00941461865019,0.0709568618559,0.0,0.0,0.010079605979,0.117130246502,0.0443165178443,0.065407261381,0.00662796742332,0.00531156885607,0.00359967039163,0.0275205227238,0.0297304647801,0.0157066595676,0.0283012355905,0.00702289636911,0.040328923847,0.00385295513032,0.00803570147369,0.0170670663594,0.00785947431713,0.0197732853635,0.00225150461125,0.0103443908069,0.00447130432274,0.00612577292841,0.175193362396,0.00128569983965,0.00909388941944,0.0597819310326,0.00354543489227,0.0848501184582,0.00621788505549,0.0186014566371,0.00139432311304,0.0267787727836,0.0607961674461,0.00504817400335,0.0633562864434,0.0141671356218,0.00181883796463,0.0168707289294,0.00477471128817,0.0108572331289,0.00788790568933,0.0108956575486,0.164521943245,0.001486141371,0.00643629498255,0.0380086111032,0.00709260506369,0.00157687633817,0.0373297197062,0.01204053937,0.0119222761971,0.029062904851,0.0356242890262,0.006075299075,0.0166094091593,0.00359195402299,0.0220625224578,0.199360906452,0.0314835267287,0.00546825533874,0.00545287567443,0.00525815373977,0.0028927522883,0.00654761048193,0.00317345834836,0.00977142363013,0.0152444193275,0.0142649528029,0.00557644922838,0.00342515246987,0.00116932049487,0.00230973553528
Bueng Kan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buriram,0.00493827160494,0.0074659639877,0.0180353031466,0.010079605979,0.0,0.0,0.0165008684668,0.0180483934946,0.00734182681926,0.00574988021083,0.0201465201465,0.00110619469027,0.00669812756888,0.0212464589235,0.00267104992809,0.029508687837,0.00810580204778,0.010234205865,0.0151376146789,0.0118956254797,0.00911854103343,0.00941006152733,0.0105904156738,0.0121614151465,0.0362282878412,0.00197530864198,0.00874367234238,0.01462546102,0.00235849056604,0.00887480190174,0.0570034511484,0.00798801797304,0.0122271740373,0.00349497597204,0.00960180739904,0.000722282412423,0.0133989608969,0.0123788217748,0.00534239922292,0.0133662647102,0.00201522615316,0.00111919418019,0.0132872707946,0.00133333333333,0.0112973760933,0.00756143667297,0.0225988700565,0.0157520981278,0.0016713091922,0.00474279460051,0.00795344325897,0.0280661284121,0.00247371675943,0.0169154228856,0.00810372771475,0.00359984842743,0.00937255922937,0.0124530075188,0.0243190661479,0.00527770796683,0.00720072007201,0.0101068437771,0.0119185565304,0.0321497120921,0.0960232783705,0.0389170896785,0.00789962825279,0.00193330111165,0.00343938091144,0.00259336099585,0.0128046261875,0.0404213620774,0.0101678883897,0.00555041628122,0.00330943188086,0.00115074798619,0.0213243546577
Chonburi,0.00199237699238,0.0151024811219,0.0769601059029,0.117130246502,0.0,0.0165008684668,0.0,0.111340510249,0.0427849424887,0.012958599798,0.00711861600861,0.00384483937116,0.0292252207437,0.0592559590109,0.00727297444263,0.0319808483212,0.0119272846919,0.0405965202983,0.00687712320822,0.0115016488378,0.0226702058971,0.0122474948306,0.0303348063815,0.00341005967604,0.014591719379,0.00411108314456,0.00730714938138,0.105018349407,0.0024115063302,0.0141432877348,0.0653798256538,0.00538086430133,0.0692263936291,0.00517538815411,0.0280715100799,0.000787401574803,0.032226340873,0.0491751866023,0.00797381232164,0.0527822731234,0.0104451454609,0.00230749508589,0.0234427327528,0.00453159759413,0.0172013761101,0.0122881696249,0.0268603424491,0.111674027886,0.00102345415778,0.0103478468519,0.0360052022726,0.0114675220529,0.00129926375054,0.086413514294,0.0203629197799,0.00713907985193,0.0345963756178,0.0413682210203,0.0120998235442,0.0118321718931,0.00495172072295,0.0280009180629,0.134478055043,0.0438320017591,0.00868199106995,0.00772357723577,0.00790809955881,0.00342494361373,0.0112887277521,0.00287210677479,0.0158222659452,0.0192556401782,0.018563646789,0.00966908393765,0.00521501239634,0.00145772594752,0.00341326051711
Chachoengsao,0.00288411116938,0.0209138440555,0.0604573457241,0.0443165178443,0.0,0.0180483934946,0.111340510249,0.0,0.0182366997862,0.0144037780401,0.0102739726027,0.00476429287864,0.0181439963019,0.0733914760573,0.00525568181818,0.0210514465834,0.0144605116796,0.0373620152845,0.00846101074777,0.00981825778149,0.0197275716299,0.0125913891145,0.0275072612336,0.00524082855004,0.0106248017761,0.00380047505938,0.00827015851137,0.0650044001173,0.00257267815796,0.00862392200975,0.0448929548241,0.00644545237527,0.0522558537978,0.00739744451917,0.0314510364546,0.000805801772764,0.0444090587403,0.0440390425285,0.014744351962,0.0425096612867,0.00451671183379,0.00201106083459,0.0226305938404,0.00383487480262,0.0207349620201,0.0131277349448,0.0477815699659,0.0671308694876,0.00100225507392,0.0116469145893,0.03095802538,0.01100041511,0.00209973753281,0.0834816132859,0.0335318773439,0.00725806451613,0.035458574838,0.0422941364947,0.0309056061332,0.00977676389115,0.00566893424036,0.0332002902758,0.0788547412661,0.0512779035911,0.0118047673099,0.00714285714286,0.00878003696858,0.00446953657963,0.0131932021467,0.00388915896937,0.0201887206496,0.0136857008023,0.0115715402658,0.0106358381503,0.00626409421198,0.00178117048346,0.00550688360451
Chiang Mai,0.000552050473186,0.00557270878831,0.0378738266754,0.065407261381,0.0,0.00734182681926,0.0427849424887,0.0182366997862,0.0,0.00974599033075,0.00415659008464,0.00296157742966,0.120893061017,0.0177957131516,0.0240940632228,0.0197327267558,0.0233302836231,0.0228679722047,0.00302297460701,0.00779985283297,0.113888285155,0.0873969375736,0.0161896304392,0.00217695537241,0.00660720185002,0.0288499331814,0.0170389131936,0.047580269893,0.00149136577708,0.00985605899454,0.0256660837362,0.003144895298,0.0290364246965,0.00473933649289,0.0334015959325,0.00123072467965,0.0119251593448,0.0277569824359,0.00883663746734,0.0316933638444,0.0142997061704,0.00116886152887,0.0341422710521,0.00505851264628,0.0131087513731,0.0358517623972,0.0062828755114,0.0435036610064,0.0014799813055,0.0340619853271,0.0166364375508,0.00482915050852,0.00134249387981,0.0229012462833,0.0133143840227,0.00925583117364,0.0146049860743,0.0155289764092,0.00373589508997,0.0208107375271,0.00400181214135,0.0160536050813,0.0529746767434,0.0156704575509,0.00308781442988,0.00267082127754,0.016209572098,0.00351520709155,0.0263621733466,0.00386339051151,0.00828358208955,0.0075702718715,0.0134858200569,0.0192559500886,0.00303761975232,0.00195710036011,0.00171113012367
Chai Nat,0.00126582278481,0.0414581844174,0.0263726761781,0.00662796742332,0.0,0.00574988021083,0.012958599798,0.0144037780401,0.00974599033075,0.0,0.00724112961622,0.00412796697626,0.00979020979021,0.0113043478261,0.00148625216745,0.0036581310276,0.0459218642906,0.0105857445307,0.00511322132944,0.00334448160535,0.0253463012084,0.023597273204,0.0188034188034,0.00302724520686,0.00240168117682,0.00675675675676,0.0142215568862,0.0123878398286,0.00348837209302,0.00428082191781,0.00877742946708,0.00339558573854,0.0119858692909,0.00274725274725,0.0834982192323,0.000517330574237,0.0112795206204,0.013281116976,0.0431472081218,0.0115359261701,0.00220385674931,0.00105152471083,0.0333333333333,0.00212314225053,0.0162558993183,0.0200892857143,0.0091348737238,0.0149894392587,0.0,0.0180562931492,0.0104311543811,0.00602409638554,0.00127713920817,0.0125592417062,0.0797907128842,0.00202201752415,0.0109743930828,0.0160959906351,0.0087440381558,0.00380831482069,0.00286327845383,0.0406726632773,0.0094589918099,0.0188179947074,0.0070771408351,0.00247678018576,0.0121580547112,0.00162074554295,0.0338397790055,0.003663003663,0.00623052959502,0.00264628050573,0.00409237065186,0.0237366003063,0.060475161987,0.00333333333333,0.00203873598369
