from;to;polyline;weight
Amnat Charoen;Amnat Charoen;LINESTRING(104.72915159 15.8623982644, 104.72915159 15.8623982644);0.0
Amnat Charoen;Ang Thong;LINESTRING(104.72915159 15.8623982644, 100.34145623 14.6380639474);0.0
Amnat Charoen;Phra Nakhon Si Ayutthaya;LINESTRING(104.72915159 15.8623982644, 100.514170724 14.4207801749);1.0
Amnat Charoen;Bangkok;LINESTRING(104.72915159 15.8623982644, 100.557322973 13.7175975701);16.0
Amnat Charoen;Bueng Kan;LINESTRING(104.72915159 15.8623982644, 103.722237352 18.0575482114);0.0
Amnat Charoen;Buriram;LINESTRING(104.72915159 15.8623982644, 102.967514344 15.1005920882);2.0
Amnat Charoen;Chonburi;LINESTRING(104.72915159 15.8623982644, 101.121827441 13.0460828469);2.0
Amnat Charoen;Chachoengsao;LINESTRING(104.72915159 15.8623982644, 101.41696414 13.5412867511);0.0
Amnat Charoen;Chiang Mai;LINESTRING(104.72915159 15.8623982644, 98.7736976232 18.9084414401);0.0
Amnat Charoen;Chai Nat;LINESTRING(104.72915159 15.8623982644, 99.9966639648 15.1889341114);0.0
Amnat Charoen;Chaiyaphum;LINESTRING(104.72915159 15.8623982644, 101.950256984 16.1453092103);0.0
Amnat Charoen;Chumphon;LINESTRING(104.72915159 15.8623982644, 98.9038728634 10.2984795764);0.0
Amnat Charoen;Chiang Rai;LINESTRING(104.72915159 15.8623982644, 99.8463306614 19.7614170952);1.0
Amnat Charoen;Chanthaburi;LINESTRING(104.72915159 15.8623982644, 102.128935757 12.7850531428);1.0
Amnat Charoen;Krabi;LINESTRING(104.72915159 15.8623982644, 98.8832146297 7.9091448048);0.0
Amnat Charoen;Khon Kaen;LINESTRING(104.72915159 15.8623982644, 102.47117486 16.4033200124);5.0
Amnat Charoen;Kamphaeng Phet;LINESTRING(104.72915159 15.8623982644, 99.4840870778 16.3504084467);0.0
Amnat Charoen;Kanchanaburi;LINESTRING(104.72915159 15.8623982644, 99.0508269362 14.6142660015);0.0
Amnat Charoen;Kalasin;LINESTRING(104.72915159 15.8623982644, 103.623492533 16.5959516038);0.0
Amnat Charoen;Loei Province;LINESTRING(104.72915159 15.8623982644, 101.552343004 17.4924428641);0.0
Amnat Charoen;Lampang;LINESTRING(104.72915159 15.8623982644, 99.5103521938 18.2741029435);0.0
Amnat Charoen;Lamphun;LINESTRING(104.72915159 15.8623982644, 98.9674006597 18.0768881064);0.0
Amnat Charoen;Lopburi Province;LINESTRING(104.72915159 15.8623982644, 100.897002401 15.11760038);0.0
Amnat Charoen;Mukdahan;LINESTRING(104.72915159 15.8623982644, 104.435295454 16.5902346448);7.0
Amnat Charoen;Maha Sarakham;LINESTRING(104.72915159 15.8623982644, 103.187269825 16.0737469859);3.0
Amnat Charoen;Mae Hong Son;LINESTRING(104.72915159 15.8623982644, 97.9474324868 18.7273332925);0.0
Amnat Charoen;Nan;LINESTRING(104.72915159 15.8623982644, 100.817084443 18.8280594829);0.0
Amnat Charoen;Nonthaburi;LINESTRING(104.72915159 15.8623982644, 100.356517706 13.9498544093);2.0
Amnat Charoen;Nong Bua Lam Phu;LINESTRING(104.72915159 15.8623982644, 102.244010092 17.1948308266);0.0
Amnat Charoen;Nong Khai;LINESTRING(104.72915159 15.8623982644, 102.77240708 17.9729280256);1.0
Amnat Charoen;Nakhon Ratchasima;LINESTRING(104.72915159 15.8623982644, 102.162650043 15.0280360626);7.0
Amnat Charoen;Nakhon Phanom;LINESTRING(104.72915159 15.8623982644, 104.319004039 17.4294095463);6.0
Amnat Charoen;Nakhon Pathom;LINESTRING(104.72915159 15.8623982644, 100.068033595 13.8876112057);0.0
Amnat Charoen;Nakhon Si Thammarat;LINESTRING(104.72915159 15.8623982644, 99.7073199322 8.51358626995);0.0
Amnat Charoen;Nakhon Sawan;LINESTRING(104.72915159 15.8623982644, 99.9869845225 15.6823145632);0.0
Amnat Charoen;Narathiwat;LINESTRING(104.72915159 15.8623982644, 101.751727633 6.12680622765);0.0
Amnat Charoen;Nakhon Nayok;LINESTRING(104.72915159 15.8623982644, 101.218224714 14.262571957);0.0
Amnat Charoen;Phetchaburi;LINESTRING(104.72915159 15.8623982644, 99.6075392745 12.9986537807);2.0
Amnat Charoen;Phichit;LINESTRING(104.72915159 15.8623982644, 100.409668319 16.2635958818);0.0
Amnat Charoen;Prachuap Khiri Khan;LINESTRING(104.72915159 15.8623982644, 99.5777392025 11.8001333794);0.0
Amnat Charoen;Phuket;LINESTRING(104.72915159 15.8623982644, 98.2727379223 7.86370621154);0.0
Amnat Charoen;Phatthalung;LINESTRING(104.72915159 15.8623982644, 100.045088379 7.45917876629);0.0
Amnat Charoen;Phitsanulok;LINESTRING(104.72915159 15.8623982644, 100.518454781 17.0947359704);0.0
Amnat Charoen;Phang Nga;LINESTRING(104.72915159 15.8623982644, 98.1018967416 8.69774345234);0.0
Amnat Charoen;Phetchabun;LINESTRING(104.72915159 15.8623982644, 101.242596454 16.3926965851);0.0
Amnat Charoen;Phrae;LINESTRING(104.72915159 15.8623982644, 100.012937431 18.2139119856);0.0
Amnat Charoen;Prachinburi;LINESTRING(104.72915159 15.8623982644, 101.618777543 14.0445407759);0.0
Amnat Charoen;Pathum Thani;LINESTRING(104.72915159 15.8623982644, 100.56915304 14.0830923585);2.0
Amnat Charoen;Pattani;LINESTRING(104.72915159 15.8623982644, 101.347821677 6.73989916225);0.0
Amnat Charoen;Phayao;LINESTRING(104.72915159 15.8623982644, 100.225624368 19.2180780435);0.0
Amnat Charoen;Ratchaburi;LINESTRING(104.72915159 15.8623982644, 99.5857449774 13.5495309307);1.0
Amnat Charoen;Roi Et;LINESTRING(104.72915159 15.8623982644, 103.828448191 15.9385220182);7.0
Amnat Charoen;Ranong;LINESTRING(104.72915159 15.8623982644, 98.563678981 9.92248571424);0.0
Amnat Charoen;Rayong;LINESTRING(104.72915159 15.8623982644, 101.343222133 12.8409659694);0.0
Amnat Charoen;Sing Buri;LINESTRING(104.72915159 15.8623982644, 100.320977667 14.8716158255);1.0
Amnat Charoen;Songkhla;LINESTRING(104.72915159 15.8623982644, 100.548759187 6.94884143693);0.0
Amnat Charoen;Samut Songkhram;LINESTRING(104.72915159 15.8623982644, 99.9367402385 13.3593198916);0.0
Amnat Charoen;Samut Sakhon;LINESTRING(104.72915159 15.8623982644, 100.177263278 13.5962888145);0.0
Amnat Charoen;Sa Kaeo;LINESTRING(104.72915159 15.8623982644, 102.332311439 13.6777234283);0.0
Amnat Charoen;Surat Thani;LINESTRING(104.72915159 15.8623982644, 99.099159387 9.13381321812);0.0
Amnat Charoen;Sakon Nakhon;LINESTRING(104.72915159 15.8623982644, 103.822703129 17.5131235152);4.0
