from;to;polyline;weight
Amnat Charoen;Amnat Charoen;LINESTRING(104.718850441 15.8144125645, 104.739452739 15.9103839643);0.0
Amnat Charoen;Ang Thong;LINESTRING(104.718850441 15.8144125645, 100.353471697 14.6204191956);0.0
Amnat Charoen;Phra Nakhon Si Ayutthaya;LINESTRING(104.718850441 15.8144125645, 100.524265612 14.3917545816);1.0
Amnat Charoen;Bangkok;LINESTRING(104.718850441 15.8144125645, 100.631523202 13.7203931414);16.0
Amnat Charoen;Bueng Kan;LINESTRING(104.718850441 15.8144125645, 103.716800416 18.1099174483);0.0
Amnat Charoen;Buriram;LINESTRING(104.718850441 15.8144125645, 102.968096472 14.9633847038);2.0
Amnat Charoen;Chonburi;LINESTRING(104.718850441 15.8144125645, 101.241576765 13.0487736735);2.0
Amnat Charoen;Chachoengsao;LINESTRING(104.718850441 15.8144125645, 101.419030609 13.5774729299);0.0
Amnat Charoen;Chiang Mai;LINESTRING(104.718850441 15.8144125645, 98.8090260466 18.6949245582);0.0
Amnat Charoen;Chai Nat;LINESTRING(104.718850441 15.8144125645, 100.036696168 15.1596223071);0.0
Amnat Charoen;Chaiyaphum;LINESTRING(104.718850441 15.8144125645, 101.888264107 16.0310191135);0.0
Amnat Charoen;Chumphon;LINESTRING(104.718850441 15.8144125645, 99.0825327206 10.3170952438);0.0
Amnat Charoen;Chiang Rai;LINESTRING(104.718850441 15.8144125645, 99.9181046538 19.7324384098);1.0
Amnat Charoen;Chanthaburi;LINESTRING(104.718850441 15.8144125645, 102.110829598 12.8108425642);1.0
Amnat Charoen;Krabi;LINESTRING(104.718850441 15.8144125645, 99.0096418766 7.93530464171);0.0
Amnat Charoen;Khon Kaen;LINESTRING(104.718850441 15.8144125645, 102.467091341 16.3601979214);5.0
Amnat Charoen;Kamphaeng Phet;LINESTRING(104.718850441 15.8144125645, 99.5310912899 16.3858334519);0.0
Amnat Charoen;Kanchanaburi;LINESTRING(104.718850441 15.8144125645, 99.0310011373 14.6930709783);0.0
Amnat Charoen;Kalasin;LINESTRING(104.718850441 15.8144125645, 103.668833895 16.6419437368);0.0
Amnat Charoen;Loei Province;LINESTRING(104.718850441 15.8144125645, 101.493432007 17.4865304276);0.0
Amnat Charoen;Lampang;LINESTRING(104.718850441 15.8144125645, 99.5028873139 18.3121197955);0.0
